true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,173,0,4,0,0,6,91,0,0,0
BMP2,0,138,7,27,14,0,0,9,0,0
BRDM_2,0,0,274,0,0,0,0,0,0,0
BTR60,0,9,4,167,12,0,0,3,0,0
BTR70,0,3,8,24,161,0,0,0,0,0
D7,0,0,0,0,0,221,0,0,2,51
T62,0,0,0,0,0,0,153,0,0,120
T72,0,9,1,9,0,0,0,176,0,1
ZIL131,0,0,0,0,0,1,0,0,250,23
ZSU_23_4,0,0,0,0,0,0,0,0,0,274
