generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-32-64,84.900002,99.9000,1.000000,1.000000
2,16-32-64,84.900002,99.9000,1.000000,1.000000
3,16-32-64,84.900002,99.9000,1.000000,1.000000
4,16-32-64,84.900002,99.9000,1.000000,1.000000
5,16-32-64,84.900002,99.9000,1.000000,1.000000
