epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,2.261919,2.261919,0.000000,0.000000,19.2480,1.984547,23.6700,134.07
2,0.1,1.850501,1.850501,0.000000,0.000000,27.7360,1.844838,28.0300,12.62
3,0.1,1.736324,1.736324,0.000000,0.000000,32.7720,1.752313,33.5700,12.80
4,0.1,1.612305,1.612305,0.000000,0.000000,39.1820,1.540990,42.1400,14.95
5,0.1,1.482634,1.482634,0.000000,0.000000,44.8960,1.441330,47.2200,16.73
6,0.1,1.350714,1.350714,0.000000,0.000000,50.6020,1.450428,47.4100,17.97
7,0.1,1.225629,1.225629,0.000000,0.000000,55.4760,1.557662,46.1700,19.68
8,0.1,1.122317,1.122317,0.000000,0.000000,59.4080,1.290265,54.2900,20.35
9,0.1,1.024148,1.024148,0.000000,0.000000,63.4020,1.176204,58.3800,20.91
10,0.1,0.952348,0.952348,0.000000,0.000000,65.9660,1.012013,64.8900,20.54
11,0.1,0.889010,0.889010,0.000000,0.000000,68.1380,0.865704,69.4200,20.62
12,0.1,0.836547,0.836547,0.000000,0.000000,70.2220,1.161846,61.4500,21.00
13,0.1,0.780820,0.780820,0.000000,0.000000,72.6000,0.988628,66.6500,20.42
14,0.1,0.739266,0.739266,0.000000,0.000000,73.8520,0.819782,71.4600,21.02
15,0.1,0.708832,0.708832,0.000000,0.000000,75.2440,0.850383,70.4900,20.68
16,0.1,0.677828,0.677828,0.000000,0.000000,76.1300,1.010644,66.5300,20.91
17,0.1,0.647809,0.647809,0.000000,0.000000,77.2560,0.807071,73.1500,20.76
18,0.1,0.619564,0.619564,0.000000,0.000000,78.5760,0.740131,73.9900,20.95
19,0.1,0.604813,0.604813,0.000000,0.000000,78.9620,0.841704,72.5000,21.29
20,0.1,0.584476,0.584476,0.000000,0.000000,79.6780,0.700338,76.3900,20.73
21,0.1,0.567441,0.567441,0.000000,0.000000,80.1440,0.635612,78.4600,20.71
22,0.1,0.554896,0.554896,0.000000,0.000000,80.5900,0.729095,75.5400,20.80
23,0.1,0.543797,0.543797,0.000000,0.000000,80.9280,0.608607,78.6400,20.68
24,0.1,0.527061,0.527061,0.000000,0.000000,81.6080,0.652320,77.9000,20.63
25,0.1,0.516338,0.516338,0.000000,0.000000,81.9400,0.902097,72.1900,20.86
26,0.1,0.505281,0.505281,0.000000,0.000000,82.3860,0.643216,78.5000,20.92
27,0.1,0.492703,0.492703,0.000000,0.000000,82.7340,0.708734,76.0400,19.75
28,0.1,0.477540,0.477540,0.000000,0.000000,83.5740,0.637537,78.9600,19.55
29,0.1,0.473594,0.473594,0.000000,0.000000,83.4960,0.694538,76.6100,19.78
30,0.1,0.468381,0.468381,0.000000,0.000000,83.7900,0.677750,78.2900,19.76
31,0.1,0.458550,0.458550,0.000000,0.000000,84.2160,0.722275,77.4300,20.28
32,0.1,0.449189,0.449189,0.000000,0.000000,84.3860,0.691501,77.0400,19.75
33,0.1,0.441892,0.441892,0.000000,0.000000,84.6880,0.685502,77.8900,19.37
34,0.1,0.434784,0.434784,0.000000,0.000000,84.8240,0.579450,80.2100,18.69
35,0.1,0.429877,0.429877,0.000000,0.000000,85.1240,0.589687,80.0900,16.41
36,0.1,0.428805,0.428805,0.000000,0.000000,84.9560,0.533566,80.9500,18.56
37,0.1,0.407882,0.407882,0.000000,0.000000,85.7180,0.649805,79.1900,19.03
38,0.1,0.406969,0.406969,0.000000,0.000000,85.6900,1.094936,69.9400,18.73
39,0.1,0.410527,0.410527,0.000000,0.000000,85.6120,0.550319,81.7300,18.77
40,0.1,0.397800,0.397800,0.000000,0.000000,86.1640,0.661850,79.1500,18.53
41,0.010000000000000002,0.337694,0.337694,0.000000,0.000000,88.2520,0.424221,85.6100,18.57
42,0.010000000000000002,0.316386,0.316386,0.000000,0.000000,88.9480,0.421717,85.8900,18.57
43,0.010000000000000002,0.306324,0.306324,0.000000,0.000000,89.2860,0.414277,86.1400,18.42
44,0.010000000000000002,0.301337,0.301337,0.000000,0.000000,89.5700,0.417197,85.8800,17.88
45,0.010000000000000002,0.298725,0.298725,0.000000,0.000000,89.6340,0.413568,86.1000,17.10
46,0.010000000000000002,0.297087,0.297087,0.000000,0.000000,89.6380,0.409930,86.2700,16.91
47,0.010000000000000002,0.290328,0.290328,0.000000,0.000000,89.8040,0.412491,86.1800,17.12
48,0.010000000000000002,0.288625,0.288625,0.000000,0.000000,89.8320,0.417376,86.0800,16.89
49,0.010000000000000002,0.286510,0.286510,0.000000,0.000000,90.0400,0.420481,85.9600,17.26
50,0.010000000000000002,0.285598,0.285598,0.000000,0.000000,90.0440,0.416463,86.1300,17.35
51,0.010000000000000002,0.282917,0.282917,0.000000,0.000000,90.1120,0.420216,85.9300,17.61
52,0.010000000000000002,0.281556,0.281556,0.000000,0.000000,90.2400,0.426354,86.0200,17.36
53,0.010000000000000002,0.280119,0.280119,0.000000,0.000000,90.2520,0.415021,86.1500,16.94
54,0.010000000000000002,0.278627,0.278627,0.000000,0.000000,90.2860,0.423718,85.8300,17.53
55,0.010000000000000002,0.277281,0.277281,0.000000,0.000000,90.3860,0.413363,86.2300,17.08
56,0.010000000000000002,0.276723,0.276723,0.000000,0.000000,90.3260,0.429542,85.7500,17.04
57,0.010000000000000002,0.274309,0.274309,0.000000,0.000000,90.3620,0.418872,86.2600,16.87
58,0.010000000000000002,0.274956,0.274956,0.000000,0.000000,90.3640,0.436421,85.5200,16.83
59,0.010000000000000002,0.270867,0.270867,0.000000,0.000000,90.5920,0.420957,86.2600,17.16
60,0.010000000000000002,0.269536,0.269536,0.000000,0.000000,90.5900,0.412470,86.6500,16.92
61,0.0010000000000000002,0.260837,0.260837,0.000000,0.000000,90.9620,0.407583,86.6000,17.28
62,0.0010000000000000002,0.255755,0.255755,0.000000,0.000000,91.1780,0.408479,86.4800,16.82
63,0.0010000000000000002,0.257818,0.257818,0.000000,0.000000,91.1160,0.408450,86.3800,16.93
64,0.0010000000000000002,0.257432,0.257432,0.000000,0.000000,91.1420,0.408902,86.3500,16.75
65,0.0010000000000000002,0.253619,0.253619,0.000000,0.000000,91.2240,0.407769,86.3800,16.88
66,0.0010000000000000002,0.255888,0.255888,0.000000,0.000000,91.1140,0.409626,86.3600,16.93
67,0.0010000000000000002,0.256812,0.256812,0.000000,0.000000,91.0840,0.408317,86.4400,17.06
