case,MAE_mean,RMSE_mean,R2_mean,MAE_std,RMSE_std,R2_std
A,0.18316739978477523,0.24165181929672275,0.9990771300366051,0.023527946620668608,0.05014935540774594,0.0006396896976708887
B,0.9922035371056274,1.1776012228677817,0.8076346918246164,1.0519719045099527,1.240201619191348,0.25289569056177946
C,2.1567434393452602,2.555372734396055,0.9025110371632052,1.3843501508451295,1.5622940707449087,0.07661388961739131
