iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-16-12-12-12-16-16-28-28-20-56-48-40-40-48,-421.094243,12.0600,0.526157,0.592346
2,16-12-12-12-12-20-28-28-28-20-48-48-40-32-48,-386.919789,17.7200,0.496650,0.585655
3,16-12-12-12-12-20-28-28-28-20-48-48-40-32-48,-386.919789,17.7200,0.496650,0.585655
4,16-12-12-12-12-20-28-24-28-24-56-48-40-40-48,-363.138456,21.7600,0.549839,0.604926
5,16-12-12-12-12-20-28-24-28-24-56-48-40-40-48,-363.138456,21.7600,0.549839,0.604926
