generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,12-8-12-16-12-28-32-16-24-24-48-56-40-56-48,-416.365082,12.9200,0.604295,0.596361
2,12-8-12-16-12-28-32-16-24-24-48-56-40-56-48,-416.365082,12.9200,0.604295,0.596361
3,16-12-12-12-16-32-32-16-24-20-48-56-64-48-48,-391.984372,17.2000,0.681071,0.687902
4,16-12-12-12-16-32-32-16-24-20-48-56-64-48-48,-391.984372,17.2000,0.681071,0.687902
5,16-12-12-12-16-32-32-16-24-20-48-56-64-48-48,-391.984372,17.2000,0.681071,0.687902
