generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.162322,12.4200,0.704650,0.725908
2,12-8-8-8-12-20-16-16-28-24-32-40-32-56-48,-420.154893,11.8400,0.432421,0.413279
3,16-12-12-12-16-32-28-24-32-20-64-64-64-48-32,-416.871571,13.2200,0.759390,0.749462
4,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-390.333929,17.5600,0.736949,0.710919
5,16-12-12-12-16-32-32-24-16-20-40-56-64-56-32,-382.585518,18.7200,0.648324,0.676390
