iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-16-12-12-12-16-16-28-28-20-56-48-40-40-48,-406.094245,14.5600,0.526157,0.592346
2,16-12-12-12-12-20-28-28-28-20-48-48-40-32-48,-377.439790,19.3000,0.496650,0.585655
3,16-12-12-12-12-20-28-28-28-20-48-48-40-32-48,-377.439790,19.3000,0.496650,0.585655
4,16-12-12-12-12-20-28-24-28-24-56-48-40-40-48,-361.938453,21.9600,0.549839,0.604926
5,16-16-12-12-12-20-28-28-28-24-56-48-40-48-48,-320.581350,28.9800,0.589998,0.661136
