iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-16-16-16-16-32-32-24-24-20-48-56-48-64-56,-368.744942,21.2800,0.733295,0.815846
2,16-16-16-16-16-32-32-28-20-24-56-56-48-48-56,-352.599231,23.9400,0.704719,0.811564
3,16-16-16-16-16-32-32-28-20-24-56-56-48-48-56,-352.599231,23.9400,0.704719,0.811564
4,16-16-16-16-16-32-28-28-20-20-56-56-56-48-56,-324.701683,28.5800,0.718369,0.798984
5,16-16-16-16-16-32-28-28-20-20-56-56-56-48-56,-324.701683,28.5800,0.718369,0.798984
