true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,127,0,0,0,0,1,146,0,0,0
BMP2,0,132,0,44,10,0,0,9,0,0
BRDM_2,0,0,272,0,0,0,0,0,0,2
BTR60,0,27,0,141,21,0,0,6,0,0
BTR70,0,7,0,37,152,0,0,0,0,0
D7,0,0,0,0,0,155,15,0,11,93
T62,0,0,0,0,0,0,166,0,0,107
T72,0,10,0,26,0,0,0,159,0,1
ZIL131,0,0,0,0,0,0,17,0,167,90
ZSU_23_4,0,0,0,0,0,0,0,0,0,274
