generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,12-12-12-12-12-24-20-32-32-24-48-40-56-64-40,-418.805516,12.5400,0.634285,0.627409
2,12-12-12-12-12-24-20-32-32-24-48-40-56-64-40,-418.805516,12.5400,0.634285,0.627409
3,12-12-12-12-12-24-20-32-32-24-48-40-56-64-56,-397.790277,16.1200,0.684406,0.648824
4,12-12-12-12-12-24-20-32-32-24-48-40-56-64-56,-397.790277,16.1200,0.684406,0.648824
5,12-12-12-12-12-24-20-32-32-24-48-40-56-64-56,-397.790277,16.1200,0.684406,0.648824
