epoch,lr,loss,ce_loss,kd_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.05,10.791453,2.217222,19.365684,31.4800,2.979637,36.3700,14.93
2,0.05,7.820008,1.899834,13.740182,52.2920,2.413660,53.8900,6.34
3,0.05,5.761444,1.504367,10.018521,64.4540,1.867993,67.0300,6.00
4,0.05,4.745240,1.298608,8.191873,70.6240,2.346008,64.7100,6.01
5,0.05,4.049844,1.133477,6.966210,74.8120,1.525135,72.9600,5.94
6,0.05,3.592054,1.022951,6.161157,77.3620,1.610275,72.0000,5.89
7,0.05,3.301930,0.944386,5.659475,78.9740,1.511092,73.2000,5.95
8,0.05,3.023407,0.863724,5.183091,80.1940,1.226061,77.7500,5.97
9,0.05,2.835537,0.810385,4.860690,81.6120,1.077133,78.6700,6.04
10,0.05,2.680116,0.768801,4.591431,82.4820,1.249274,78.5100,6.01
11,0.05,2.560814,0.733010,4.388617,83.2340,1.116237,80.3300,6.00
12,0.05,2.382965,0.686838,4.079092,84.2860,1.156387,79.4800,6.04
13,0.05,2.314940,0.662318,3.967563,84.6080,0.943221,82.0500,6.07
14,0.05,2.226347,0.641490,3.811204,85.0980,0.865138,83.0900,6.07
15,0.05,2.143218,0.615760,3.670677,85.6600,0.847288,83.9400,6.04
16,0.05,2.124545,0.609875,3.639215,85.7240,0.838565,83.9600,5.89
17,0.05,2.013767,0.574947,3.452588,86.5500,0.781240,85.0200,5.99
18,0.05,1.990962,0.567063,3.414861,86.6360,0.966683,82.4200,6.02
19,0.05,1.926678,0.543385,3.309972,87.0480,0.998607,81.7200,6.07
20,0.05,1.886150,0.535542,3.236758,87.3500,0.772757,84.9900,5.96
21,0.05,1.840182,0.520406,3.159959,87.4300,0.817209,83.9700,6.09
22,0.05,1.812370,0.512177,3.112562,87.8560,1.165877,80.0500,5.97
23,0.05,1.750220,0.496163,3.004276,88.0340,0.840391,83.9100,6.00
24,0.05,1.759544,0.496092,3.022996,88.1540,0.923245,83.9900,6.01
25,0.05,1.700979,0.476673,2.925284,88.5040,0.700743,86.1600,5.94
26,0.05,1.639449,0.458894,2.820003,88.8440,1.004029,82.6200,6.06
27,0.05,1.639608,0.463797,2.815420,88.7720,0.805015,84.9100,6.06
28,0.05,1.640853,0.458156,2.823551,88.9080,0.765858,85.1800,6.02
29,0.05,1.594112,0.443235,2.744990,89.1900,1.014263,83.2300,5.95
30,0.05,1.565192,0.433320,2.697065,89.3880,0.848978,84.8900,6.00
31,0.05,1.556274,0.434683,2.677865,89.2640,0.705303,86.0800,5.95
32,0.05,1.540832,0.429249,2.652414,89.6180,0.832629,85.3700,6.03
33,0.05,1.503340,0.414755,2.591926,89.9280,0.752339,85.8300,5.95
34,0.05,1.495368,0.412316,2.578419,89.8140,0.791047,85.0700,6.00
35,0.05,1.468218,0.405851,2.530585,89.9340,0.818436,85.1700,5.96
