epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.4,2.603202,11.3980,2.292008,13.8800,50.66
2,0.4,2.279134,13.1020,2.239117,14.6200,8.10
3,0.4,2.120029,17.2100,2.003494,20.9400,8.00
4,0.4,1.984202,20.2960,1.938124,20.1200,8.13
5,0.4,1.920922,20.1960,2.002518,18.6500,7.98
6,0.4,1.889954,21.8820,1.881098,20.9700,7.98
7,0.4,1.804096,27.6740,2.113861,26.6900,8.23
8,0.4,1.641867,36.1660,2.529017,29.0500,8.45
9,0.4,1.472994,44.7420,1.810977,41.3900,8.31
10,0.4,1.291873,52.7140,1.757098,45.4000,7.91
11,0.4,1.160751,58.1240,1.329653,53.9900,8.34
12,0.4,1.068736,61.5380,1.293701,56.8500,7.89
13,0.4,0.968310,65.5480,1.314348,57.3200,8.39
14,0.4,0.896408,68.0800,1.150655,63.0400,8.73
15,0.4,0.831203,70.6340,1.092635,65.0600,8.42
16,0.4,0.770996,73.1680,0.935500,68.1200,8.26
17,0.4,0.730944,74.4000,0.759937,74.3600,8.16
18,0.4,0.682878,76.3080,1.044192,66.7900,8.09
19,0.4,0.667515,76.7960,0.924171,71.3200,7.83
20,0.4,0.628721,78.2160,0.881174,72.7700,8.93
21,0.4,0.605083,78.9340,0.871584,72.7200,7.39
22,0.4,0.577470,80.0560,0.745832,75.7600,8.64
23,0.4,0.560921,80.6400,0.857068,72.1400,8.26
24,0.4,0.545298,81.2140,0.709304,77.1600,8.00
25,0.4,0.520479,82.0620,0.685101,76.8400,8.36
26,0.4,0.505758,82.6520,0.867443,74.7700,8.26
27,0.4,0.495454,82.7400,0.726114,76.9800,8.15
28,0.4,0.474825,83.5700,0.838520,72.9400,8.61
29,0.4,0.465727,83.9000,0.939587,72.3500,8.16
30,0.4,0.452324,84.3020,0.730158,77.3700,8.15
31,0.4,0.438803,84.9640,0.975019,70.7800,8.07
32,0.4,0.427851,85.3280,0.730284,77.9600,8.11
33,0.4,0.429180,85.1540,0.990270,69.9000,8.06
34,0.4,0.415570,85.6080,0.618155,80.0000,8.28
35,0.4,0.411256,85.7820,0.640997,80.0200,7.66
36,0.4,0.397687,86.3360,0.620382,80.9900,8.47
37,0.4,0.389536,86.5540,1.038659,72.4800,8.09
38,0.4,0.385996,86.6360,0.686960,78.2600,8.27
39,0.4,0.383825,86.6820,0.753429,77.0600,8.48
40,0.4,0.366711,87.3040,0.648084,79.2200,8.98
41,0.4,0.365240,87.4180,0.706332,77.0500,8.51
42,0.4,0.361464,87.5380,0.516946,83.2100,8.17
43,0.4,0.353242,87.8080,0.611172,80.9400,8.71
44,0.4,0.351139,87.9760,0.696219,78.3800,8.48
45,0.4,0.341951,88.1760,0.556887,82.4000,8.92
46,0.4,0.333821,88.3900,0.756637,76.6600,8.23
47,0.4,0.328166,88.5680,0.595535,80.7300,8.24
48,0.4,0.332086,88.5260,0.542070,82.5900,8.92
49,0.4,0.327140,88.6520,0.632772,80.7400,8.25
50,0.4,0.325883,88.7960,0.787449,76.0800,7.53
51,0.4,0.319440,89.0340,0.748049,77.2200,8.30
52,0.4,0.313218,89.2560,0.705285,79.3000,8.09
53,0.4,0.309918,89.2880,0.550526,83.6500,8.25
54,0.4,0.307729,89.3460,0.623838,80.3900,7.94
55,0.4,0.299879,89.6640,0.518507,82.9400,7.78
56,0.4,0.296732,89.7560,0.666049,80.1900,8.39
57,0.4,0.290240,89.9680,0.658095,80.4400,8.84
58,0.4,0.293060,89.8840,0.628939,80.8000,8.83
