channels,fitness,test_acc,train_acc,test_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,eval_time_sec,epochs
8-16-32,25.09861616440763,32.65,30.6,1.7934173278808594,1.7963610595703126,116882,17326400,0.2518172847804823,0.251608304259009,0.7481827152195177,0.7483916957409911,43.62039017677307,3
8-16-32,23.34861616440763,30.9,30.54,1.7707721633911133,1.809477099609375,116882,17326400,0.2518172847804823,0.251608304259009,0.7481827152195177,0.7483916957409911,42.213735580444336,3
8-16-32,26.898616164407635,34.45,30.22,1.7597738018035889,1.8038291015625,116882,17326400,0.2518172847804823,0.251608304259009,0.7481827152195177,0.7483916957409911,41.94383406639099,3
8-16-32,24.698616164407632,32.25,30.78,1.7471828851699829,1.791110009765625,116882,17326400,0.2518172847804823,0.251608304259009,0.7481827152195177,0.7483916957409911,41.10604000091553,3
8-20-40,21.257426672743392,32.15,33.04,1.8177464208602905,1.7468889038085937,178402,23538064,0.38435950137238933,0.34181205377805124,0.6156404986276107,0.6581879462219488,34.58432960510254,3
8-20-40,20.30742667274339,31.2,33.14,1.7823201427459716,1.7458113403320312,178402,23538064,0.38435950137238933,0.34181205377805124,0.6156404986276107,0.6581879462219488,32.39050531387329,3
8-20-40,21.40742667274339,32.3,32.26,1.7669477100372315,1.7581125,178402,23538064,0.38435950137238933,0.34181205377805124,0.6156404986276107,0.6581879462219488,32.311373710632324,3
8-20-40,20.707426672743395,31.6,31.72,1.7737649602890015,1.7802124725341797,178402,23538064,0.38435950137238933,0.34181205377805124,0.6156404986276107,0.6581879462219488,32.646915912628174,3
8-28-56,15.22140528498235,35.0,32.06,1.740716993331909,1.769471435546875,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,22.657859563827515,3
8-28-56,14.97140528498235,34.75,32.82,1.8014887714385985,1.7746587646484375,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,22.623536825180054,3
8-28-56,15.871405284982348,35.65,31.72,1.7280554361343383,1.7912539306640625,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,21.21519446372986,3
8-28-56,15.47140528498235,35.25,31.3,1.7242096042633057,1.781862109375,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,19.735059022903442,3
8-32-40,15.821816640162192,31.45,33.0,1.8409685354232788,1.749128515625,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,13.690821170806885,3
8-32-40,16.771816640162193,32.4,33.94,1.7720468454360963,1.7502513061523437,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,13.708442687988281,3
8-32-40,15.371816640162193,31.0,33.66,1.8295663146972656,1.7430086547851562,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,13.69006633758545,3
8-32-40,15.521816640162191,31.15,32.28,1.787695562362671,1.76622890625,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,13.528820276260376,3
