epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.848981,1.848981,0.000000,0.000000,32.9660,1.788189,38.4100,97.91
2,0.1,1.272651,1.272651,0.000000,0.000000,53.5420,1.165825,57.8200,13.17
3,0.1,1.081126,1.081126,0.000000,0.000000,61.0900,1.241734,57.2700,14.62
4,0.1,0.955673,0.955673,0.000000,0.000000,65.7620,1.116679,61.4100,16.16
5,0.1,0.857339,0.857339,0.000000,0.000000,69.6100,1.325215,59.2500,16.29
6,0.1,0.782724,0.782724,0.000000,0.000000,72.5180,1.362876,60.3000,15.81
7,0.1,0.730781,0.730781,0.000000,0.000000,74.4320,0.844527,71.0900,17.00
8,0.1,0.693642,0.693642,0.000000,0.000000,75.7780,0.773307,73.4800,16.05
9,0.1,0.655396,0.655396,0.000000,0.000000,77.1480,0.664318,76.6400,17.43
10,0.1,0.618058,0.618058,0.000000,0.000000,78.5260,0.742666,74.9700,19.82
11,0.1,0.604443,0.604443,0.000000,0.000000,78.7240,0.724201,75.5400,20.93
12,0.1,0.575442,0.575442,0.000000,0.000000,80.1860,0.794693,73.2000,25.62
13,0.1,0.563021,0.563021,0.000000,0.000000,80.4360,0.660633,77.3500,29.42
14,0.1,0.541065,0.541065,0.000000,0.000000,81.2040,0.679053,77.5200,32.37
15,0.1,0.525387,0.525387,0.000000,0.000000,81.6640,0.714711,76.8400,33.46
16,0.1,0.513521,0.513521,0.000000,0.000000,82.0460,0.616563,78.7900,32.96
17,0.1,0.495319,0.495319,0.000000,0.000000,82.6700,0.602418,79.3400,33.05
18,0.1,0.487084,0.487084,0.000000,0.000000,83.2100,0.892235,73.0200,33.13
19,0.1,0.471555,0.471555,0.000000,0.000000,83.6760,0.556381,80.9900,33.41
20,0.1,0.464057,0.464057,0.000000,0.000000,83.8360,0.680348,78.0700,33.29
21,0.1,0.454987,0.454987,0.000000,0.000000,84.2240,0.563109,81.0600,33.05
22,0.1,0.449308,0.449308,0.000000,0.000000,84.5260,0.574853,81.3600,33.25
23,0.1,0.435362,0.435362,0.000000,0.000000,84.7420,0.803884,74.3400,33.04
24,0.1,0.432460,0.432460,0.000000,0.000000,84.9800,0.540285,81.7400,32.88
25,0.1,0.418061,0.418061,0.000000,0.000000,85.4560,0.618138,79.6100,33.40
26,0.1,0.416562,0.416562,0.000000,0.000000,85.5900,0.629927,79.5100,32.24
27,0.1,0.405072,0.405072,0.000000,0.000000,85.8800,0.958550,69.3300,31.18
28,0.1,0.405825,0.405825,0.000000,0.000000,85.8460,0.491096,83.6700,31.73
29,0.1,0.390987,0.390987,0.000000,0.000000,86.4060,0.583610,80.2400,31.59
30,0.1,0.386210,0.386210,0.000000,0.000000,86.4080,0.909326,71.9900,30.53
31,0.1,0.387563,0.387563,0.000000,0.000000,86.5660,0.487386,83.5000,32.95
32,0.1,0.380879,0.380879,0.000000,0.000000,86.5800,0.687951,77.6900,29.96
33,0.1,0.370473,0.370473,0.000000,0.000000,87.0240,0.736717,77.5900,29.70
34,0.1,0.373613,0.373613,0.000000,0.000000,86.9480,0.596681,81.1100,29.96
35,0.1,0.368281,0.368281,0.000000,0.000000,87.1580,0.545125,82.6900,29.79
36,0.1,0.361465,0.361465,0.000000,0.000000,87.3620,0.672901,77.1700,29.16
37,0.1,0.357863,0.357863,0.000000,0.000000,87.5740,0.602635,79.2500,27.94
38,0.1,0.353045,0.353045,0.000000,0.000000,87.4640,0.451476,84.7700,27.03
39,0.1,0.346740,0.346740,0.000000,0.000000,87.8060,0.640605,78.6200,26.96
40,0.1,0.341224,0.341224,0.000000,0.000000,88.2200,0.576978,80.9700,27.74
41,0.010000000000000002,0.272108,0.272108,0.000000,0.000000,90.6880,0.347861,88.1800,28.00
42,0.010000000000000002,0.247113,0.247113,0.000000,0.000000,91.4280,0.345086,88.2000,27.47
43,0.010000000000000002,0.237908,0.237908,0.000000,0.000000,91.8000,0.340011,88.7100,27.71
44,0.010000000000000002,0.231308,0.231308,0.000000,0.000000,91.8800,0.347646,88.4100,27.03
45,0.010000000000000002,0.229441,0.229441,0.000000,0.000000,92.0540,0.342142,88.5100,26.93
46,0.010000000000000002,0.224603,0.224603,0.000000,0.000000,92.3880,0.357284,88.1900,27.26
47,0.010000000000000002,0.219740,0.219740,0.000000,0.000000,92.3820,0.341835,88.5400,27.18
48,0.010000000000000002,0.218782,0.218782,0.000000,0.000000,92.3140,0.345174,88.5400,26.93
49,0.010000000000000002,0.210604,0.210604,0.000000,0.000000,92.6840,0.340352,88.6200,27.18
50,0.010000000000000002,0.214073,0.214073,0.000000,0.000000,92.5260,0.341795,88.6600,27.18
51,0.010000000000000002,0.211363,0.211363,0.000000,0.000000,92.5480,0.347908,88.5500,26.73
52,0.010000000000000002,0.206688,0.206688,0.000000,0.000000,92.5980,0.350790,88.6800,24.64
53,0.010000000000000002,0.205872,0.205872,0.000000,0.000000,92.8600,0.345051,88.6000,24.50
54,0.010000000000000002,0.201406,0.201406,0.000000,0.000000,92.9620,0.345323,88.7600,25.93
55,0.010000000000000002,0.200693,0.200693,0.000000,0.000000,92.9600,0.346636,88.8700,24.29
56,0.010000000000000002,0.198007,0.198007,0.000000,0.000000,92.9780,0.347076,88.7100,22.85
57,0.010000000000000002,0.202424,0.202424,0.000000,0.000000,92.9180,0.354815,88.5300,26.90
58,0.010000000000000002,0.194789,0.194789,0.000000,0.000000,93.1520,0.347596,88.6600,30.73
59,0.010000000000000002,0.197118,0.197118,0.000000,0.000000,93.1320,0.344473,88.7100,30.15
60,0.010000000000000002,0.193514,0.193514,0.000000,0.000000,93.2060,0.353217,88.5500,27.86
61,0.0010000000000000002,0.185222,0.185222,0.000000,0.000000,93.4420,0.338880,88.9700,24.19
62,0.0010000000000000002,0.181360,0.181360,0.000000,0.000000,93.6680,0.337700,89.0400,26.32
63,0.0010000000000000002,0.182335,0.182335,0.000000,0.000000,93.5800,0.336622,89.0200,19.49
64,0.0010000000000000002,0.179602,0.179602,0.000000,0.000000,93.8880,0.337047,88.9300,37.86
65,0.0010000000000000002,0.176245,0.176245,0.000000,0.000000,93.7920,0.339503,89.0200,20.47
66,0.0010000000000000002,0.179423,0.179423,0.000000,0.000000,93.8100,0.338046,89.0400,19.76
67,0.0010000000000000002,0.176218,0.176218,0.000000,0.000000,93.8560,0.338981,88.9300,19.79
68,0.0010000000000000002,0.176529,0.176529,0.000000,0.000000,93.8380,0.339207,88.9000,18.63
69,0.0010000000000000002,0.177657,0.177657,0.000000,0.000000,93.8420,0.338840,88.8800,16.47
70,0.0010000000000000002,0.177892,0.177892,0.000000,0.000000,93.7500,0.338667,88.9000,15.20
71,0.0010000000000000002,0.176187,0.176187,0.000000,0.000000,93.8980,0.340944,88.8400,15.08
72,0.0010000000000000002,0.176080,0.176080,0.000000,0.000000,93.8080,0.340759,88.9600,15.19
73,0.0010000000000000002,0.175525,0.175525,0.000000,0.000000,93.8300,0.340358,88.9800,15.15
74,0.0010000000000000002,0.173321,0.173321,0.000000,0.000000,93.8880,0.340478,88.8800,14.16
75,0.0010000000000000002,0.178382,0.178382,0.000000,0.000000,93.8240,0.337762,88.9300,15.00
76,0.0010000000000000002,0.174673,0.174673,0.000000,0.000000,93.8700,0.339156,88.9600,12.66
77,0.0010000000000000002,0.174285,0.174285,0.000000,0.000000,93.8740,0.339758,88.8400,38.07
78,0.0010000000000000002,0.175712,0.175712,0.000000,0.000000,93.8720,0.341228,88.9400,14.03
79,0.0010000000000000002,0.174274,0.174274,0.000000,0.000000,93.8920,0.342689,88.8900,41.31
80,0.0010000000000000002,0.172956,0.172956,0.000000,0.000000,93.9800,0.342058,88.9300,13.60
