run,batch_size,mu,unlabeled_batch_size,lr,seed,epochs,best_test_acc,best_epoch,time_seconds
fixmatch_b32_mu2,32,2,64,0.001,42,80,0.8498969072164948,78,837.06
fixmatch_b32_mu4,32,4,128,0.001,42,80,0.8861855670103093,60,704.01
fixmatch_b64_mu2,64,2,128,0.001,42,80,0.8210309278350515,69,784.68
fixmatch_b64_mu4,64,4,256,0.001,42,80,0.7237113402061855,50,656.89
fixmatch_b96_mu2,96,2,192,0.001,42,80,0.7868041237113402,52,599.99
fixmatch_b96_mu4,96,4,384,0.001,42,80,0.6816494845360824,38,552.26
fixmatch_b128_mu2,128,2,256,0.001,42,80,0.7657731958762887,57,514.03
fixmatch_b128_mu4,128,4,512,0.001,42,80,0.7076288659793815,44,205.14
