epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.0014994217771805423,2.1433683776143773,0.21641791044776118,4.202825443031862,0.08082474226804123,0.08082474226804123
2,0.0014976880002998461,1.362370964306504,0.43656716417910446,76.48233737277002,0.08082474226804123,0.08082474226804123
3,0.0014948013427161949,1.0241623351823037,0.5895522388059702,118.2128466309223,0.08082474226804123,0.08082474226804123
4,0.0014907662554463532,0.9856473865793712,0.5559701492537313,107.97303933998973,0.08082474226804123,0.08082474226804123
5,0.0014855889603024228,0.8663572633444373,0.6716417910447762,41.98844015873585,0.08082474226804123,0.08082474226804123
6,0.0014792774402982573,0.8283349088768461,0.7164179104477612,25.990416525565365,0.08082474226804123,0.08082474226804123
7,0.0014718414273402352,0.7257091838922074,0.7238805970149254,15.07039288009565,0.1134020618556701,0.1134020618556701
8,0.0014632923872213652,0.6995427919857538,0.7350746268656716,18.83210176807089,0.11298969072164948,0.1134020618556701
9,0.001453643501941863,0.6747004994705542,0.7425373134328358,20.51096402266591,0.11298969072164948,0.1134020618556701
10,0.0014429096493834648,0.6011875218419886,0.8022388059701493,24.341876401606296,0.02597938144329897,0.1134020618556701
11,0.0014311073803688107,0.646145357124841,0.7686567164179104,28.244658624708038,0.0445360824742268,0.1134020618556701
12,0.0014182548931412757,0.5711312854467933,0.7835820895522388,26.3652689652913,0.11298969072164948,0.1134020618556701
13,0.0014043720053045978,0.5484892534675883,0.7910447761194029,25.75285466686352,0.11298969072164948,0.1134020618556701
14,0.001389480123265569,0.5176247558486995,0.8171641791044776,28.101145572858986,0.19010309278350515,0.19010309278350515
15,0.0013736022092269088,0.4903756718137371,0.8283582089552238,33.83245212514294,0.11298969072164948,0.19010309278350515
16,0.0013567627457812105,0.48549680611980495,0.8246268656716418,36.32733259028995,0.11298969072164948,0.19010309278350515
17,0.0013389876981605585,0.4416853104954335,0.8283582089552238,28.204082559055852,0.11298969072164948,0.19010309278350515
18,0.0013203044742000232,0.4525728265740978,0.8507462686567164,23.99002291256618,0.14185567010309277,0.19010309278350515
19,0.001300741882076764,0.4161555571342582,0.8731343283582089,23.622103578233226,0.14432989690721648,0.19010309278350515
20,0.0012803300858899105,0.46185166978124365,0.8246268656716418,24.747001957450944,0.12824742268041237,0.19010309278350515
21,0.0012591005591497063,0.4182900644060391,0.8470149253731343,18.57373824758628,0.14927835051546393,0.19010309278350515
22,0.0012370860362476378,0.3533175267390351,0.8880597014925373,7.327706449700009,0.22103092783505154,0.22103092783505154
23,0.0012143204619823754,0.3884922337176195,0.8656716417910447,7.111802232784382,0.25938144329896906,0.25938144329896906
24,0.001190838939219355,0.3489431191736193,0.8992537313432836,2.3765696153920337,0.5847422680412371,0.5847422680412371
25,0.0011666776747647017,0.34262429555850243,0.8843283582089553,6.854166140261385,0.2177319587628866,0.5847422680412371
26,0.0011418739235369616,0.3579312807588435,0.8917910447761194,2.8792383923085128,0.4734020618556701,0.5847422680412371
27,0.0011164659311227163,0.30699375093872866,0.8880597014925373,5.822667061617387,0.4111340206185567,0.5847422680412371
28,0.0010904928748046601,0.32081310339828034,0.8917910447761194,3.385505470909231,0.45938144329896907,0.5847422680412371
29,0.0010639948031530711,0.33580624612409676,0.8731343283582089,2.014402925977459,0.5047422680412371,0.5847422680412371
30,0.0010370125742738174,0.3430322293025344,0.8656716417910447,4.788445417069897,0.4350515463917526,0.5847422680412371
31,0.0010095877928081199,0.31852147917249307,0.8917910447761194,1.3190915160419745,0.6453608247422681,0.6453608247422681
32,0.0009817627457812108,0.30488446176941714,0.8992537313432836,4.738718808360935,0.10804123711340206,0.6453608247422681
33,0.0009535803373988059,0.2701386942792295,0.917910447761194,9.229220397398644,0.1043298969072165,0.6453608247422681
34,0.0009250840228919294,0.2618260245714615,0.9291044776119403,3.1470415209740707,0.15711340206185567,0.6453608247422681
35,0.0008963177415120965,0.2460413139257858,0.917910447761194,2.607189620321559,0.3670103092783505,0.6453608247422681
