channels,fitness,test_acc,train_acc,test_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,eval_time_sec,epochs
8-16-32,25.698616164407632,33.25,31.08,1.7988448095321656,1.796671923828125,116882,17326400,0.2518172847804823,0.251608304259009,0.7481827152195177,0.7483916957409911,9.625478744506836,3
8-20-40,21.457426672743395,32.35,32.44,1.7930652332305907,1.7483172485351564,178402,23538064,0.38435950137238933,0.34181205377805124,0.6156404986276107,0.6581879462219488,3.839902877807617,3
8-28-56,17.771405284982347,37.55,32.92,1.6700177545547485,1.7607886108398438,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,2.772707223892212,3
8-32-40,20.621816640162194,36.25,33.9,1.697863127708435,1.7476289001464844,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,2.9611830711364746,3
8-32-48,13.269668369098742,31.65,30.04,1.7498608331680299,1.7969222778320313,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,2.521120548248291,3
12-16-48,19.260676633865273,33.65,33.58,1.7686879577636718,1.7294826538085937,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,6.277784585952759,3
16-28-56,12.320198959792577,36.75,32.84,1.6919290075302125,1.7414581481933593,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,5.841916799545288,3
16-32-32,14.917792042977997,32.95,35.8,1.6914260768890381,1.6885138793945313,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,2.522488594055176,3
12-28-40,17.420786165549544,33.2,33.58,1.7246940450668335,1.7666801666259766,221526,39573904,0.4772683204281338,0.5746792685352303,0.5227316795718662,0.4253207314647697,2.5713868141174316,3
8-24-32,22.603097944659527,32.6,28.84,1.7108680047988891,1.8186960327148438,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,2.837608814239502,3
8-20-48,22.645245024960122,36.25,33.54,1.7089212646484375,1.775897705078125,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,2.196453809738159,3
8-20-32,28.040008841164564,36.7,33.48,1.6986692199707032,1.745678955078125,130066,20459840,0.2802216505728702,0.29711109334949226,0.7197783494271298,0.7028889066505077,2.1923604011535645,3
8-24-56,15.376586378029533,33.55,30.14,1.7494509210586549,1.8504403442382813,322818,35537456,0.695497615015706,0.5160632931156585,0.30450238498429405,0.48393670688434154,2.1588029861450195,3
8-16-64,14.593979445590573,33.9,32.8,1.7215631170272827,1.7537857543945312,371282,33546880,0.7999112363568988,0.4871568006037298,0.20008876364310124,0.5128431993962702,2.1983859539031982,3
16-20-32,20.78953664336634,34.05,30.66,1.7665306072235107,1.78936318359375,149178,38744384,0.32139763957651984,0.562633250865724,0.6786023604234801,0.437366749134276,2.1927545070648193,3
8-32-32,16.74436543186354,30.1,31.1,1.7662997579574584,1.763952294921875,185170,33841472,0.3989408687633846,0.4914347691123796,0.6010591312366154,0.5085652308876204,1.8236429691314697,3
16-16-32,19.923511030305182,32.05,33.14,1.7814514932632446,1.770381622314453,135706,35537216,0.29237279006536626,0.5160598079142882,0.7076272099346337,0.4839401920857118,2.1757891178131104,3
12-24-32,23.407910751105725,35.35,31.62,1.701683448791504,1.7326933837890626,154102,31961408,0.3320061876015288,0.4641330956580897,0.6679938123984712,0.5358669043419103,2.204313039779663,3
12-28-48,16.231960102246152,34.75,32.52,1.7029806995391845,1.7564716552734374,280806,43352544,0.6049845525407516,0.6295514406428384,0.39501544745924844,0.3704485593571616,2.2290306091308594,3
8-16-40,22.57935620374652,32.35,32.5,1.7451540975570679,1.765294677734375,164930,20386192,0.3553346518612357,0.2960416012223298,0.6446653481387643,0.7039583987776702,2.1645119190216064,3
16-20-48,12.5947728271619,30.8,32.88,1.7956191501617431,1.7811974731445313,256218,45564384,0.5520107550511253,0.6616710564714149,0.4479892449488747,0.3383289435285851,1.8535289764404297,3
16-24-64,4.616044302268005,31.1,30.02,1.7806806497573853,1.7980402893066407,421946,58983040,0.9090646638831078,0.8565323826323586,0.0909353361168922,0.14346761736764135,2.2371482849121094,3
