scenario,epoch,train_loss,val_loss,case,source_battery,target_battery
A_random_B0005_60_20_20,1,0.46492093801498413,0.4960789978504181,A,B0005,B0005
A_random_B0005_60_20_20,2,0.41192319989204407,0.437762051820755,A,B0005,B0005
A_random_B0005_60_20_20,3,0.3606914281845093,0.3836652934551239,A,B0005,B0005
A_random_B0005_60_20_20,4,0.3136632740497589,0.3334748446941376,A,B0005,B0005
A_random_B0005_60_20_20,5,0.27092093229293823,0.28577807545661926,A,B0005,B0005
A_random_B0005_60_20_20,6,0.22828464210033417,0.24261336028575897,A,B0005,B0005
A_random_B0005_60_20_20,7,0.19419381022453308,0.20337654650211334,A,B0005,B0005
A_random_B0005_60_20_20,8,0.15733662247657776,0.16937720775604248,A,B0005,B0005
A_random_B0005_60_20_20,9,0.13160423934459686,0.13957689702510834,A,B0005,B0005
A_random_B0005_60_20_20,10,0.10979138314723969,0.11299526691436768,A,B0005,B0005
A_random_B0005_60_20_20,11,0.08542747795581818,0.09041773527860641,A,B0005,B0005
A_random_B0005_60_20_20,12,0.06969296187162399,0.07142067700624466,A,B0005,B0005
A_random_B0005_60_20_20,13,0.05605605989694595,0.05505320429801941,A,B0005,B0005
A_random_B0005_60_20_20,14,0.047403980046510696,0.040716737508773804,A,B0005,B0005
A_random_B0005_60_20_20,15,0.03598218411207199,0.028228648006916046,A,B0005,B0005
A_random_B0005_60_20_20,16,0.027241097763180733,0.017727673053741455,A,B0005,B0005
A_random_B0005_60_20_20,17,0.020546672865748405,0.009755554609000683,A,B0005,B0005
A_random_B0005_60_20_20,18,0.011749876663088799,0.004977413918823004,A,B0005,B0005
A_random_B0005_60_20_20,19,0.008465079590678215,0.0035311938263475895,A,B0005,B0005
A_random_B0005_60_20_20,20,0.006838804576545954,0.005133596248924732,A,B0005,B0005
A_random_B0005_60_20_20,21,0.0059928977862000465,0.009120337665081024,A,B0005,B0005
A_random_B0005_60_20_20,22,0.008828696794807911,0.014350819401443005,A,B0005,B0005
A_random_B0005_60_20_20,23,0.010860358364880085,0.019690968096256256,A,B0005,B0005
A_random_B0005_60_20_20,24,0.015644870698451996,0.023736057803034782,A,B0005,B0005
A_random_B0005_60_20_20,25,0.016672516241669655,0.025857262313365936,A,B0005,B0005
A_random_B0005_60_20_20,26,0.017306441441178322,0.025919880717992783,A,B0005,B0005
A_random_B0005_60_20_20,27,0.020895686000585556,0.023981625214219093,A,B0005,B0005
A_random_B0005_60_20_20,28,0.019478479400277138,0.020613593980669975,A,B0005,B0005
A_random_B0005_60_20_20,29,0.019470788538455963,0.016373133286833763,A,B0005,B0005
A_random_B0005_60_20_20,30,0.012869074009358883,0.012112410739064217,A,B0005,B0005
A_random_B0005_60_20_20,31,0.01159309595823288,0.008275505155324936,A,B0005,B0005
A_random_B0005_60_20_20,32,0.007217789068818092,0.005232031922787428,A,B0005,B0005
A_random_B0005_60_20_20,33,0.0039073810912668705,0.0030683153308928013,A,B0005,B0005
A_random_B0005_60_20_20,34,0.005008666310459375,0.001744536915794015,A,B0005,B0005
A_random_B0005_60_20_20,35,0.0032132596243172884,0.001185201806947589,A,B0005,B0005
A_random_B0005_60_20_20,36,0.004241351503878832,0.0012391982600092888,A,B0005,B0005
A_random_B0005_60_20_20,37,0.0024402416311204433,0.0016978381900116801,A,B0005,B0005
A_random_B0005_60_20_20,38,0.003128806361928582,0.0023803820367902517,A,B0005,B0005
A_random_B0005_60_20_20,39,0.004539348650723696,0.0030815498903393745,A,B0005,B0005
A_random_B0005_60_20_20,40,0.0050992416217923164,0.003672220977023244,A,B0005,B0005
A_random_B0005_60_20_20,41,0.005375436507165432,0.004054774064570665,A,B0005,B0005
A_random_B0005_60_20_20,42,0.005246236454695463,0.004228360019624233,A,B0005,B0005
A_random_B0005_60_20_20,43,0.005542891565710306,0.004196986556053162,A,B0005,B0005
A_random_B0005_60_20_20,44,0.004030910786241293,0.004000926855951548,A,B0005,B0005
A_random_B0005_60_20_20,45,0.005000901874154806,0.003665994154289365,A,B0005,B0005
A_random_B0005_60_20_20,46,0.004938088357448578,0.003261570818722248,A,B0005,B0005
A_random_B0005_60_20_20,47,0.005076492205262184,0.0028429736848920584,A,B0005,B0005
A_random_B0005_60_20_20,48,0.005957451649010181,0.0024213800206780434,A,B0005,B0005
A_random_B0005_60_20_20,49,0.0037024286575615406,0.002047966467216611,A,B0005,B0005
A_random_B0005_60_20_20,50,0.002961765043437481,0.0017673204420134425,A,B0005,B0005
A_random_B0005_60_20_20,51,0.00434889504685998,0.0015514333499595523,A,B0005,B0005
A_random_B0005_60_20_20,52,0.002576445695012808,0.0014369245618581772,A,B0005,B0005
A_random_B0005_60_20_20,53,0.0026240532752126455,0.0014273442793637514,A,B0005,B0005
A_random_B0005_60_20_20,54,0.004038358107209206,0.0014794969465583563,A,B0005,B0005
A_random_B0005_60_20_20,55,0.002056895289570093,0.00158585119061172,A,B0005,B0005
A_random_B0005_60_20_20,56,0.0028355512768030167,0.0017123955767601728,A,B0005,B0005
A_random_B0005_60_20_20,57,0.003151212353259325,0.0018212454160675406,A,B0005,B0005
A_random_B0005_60_20_20,58,0.0034185757394880056,0.0019059156766161323,A,B0005,B0005
A_random_B0005_60_20_20,59,0.0034170642029494047,0.001964450115337968,A,B0005,B0005
A_random_B0005_60_20_20,60,0.00253584748134017,0.001978564541786909,A,B0005,B0005
A_random_B0005_60_20_20,61,0.0024586664512753487,0.0019382043974474072,A,B0005,B0005
A_random_B0005_60_20_20,62,0.003425869159400463,0.0018425537273287773,A,B0005,B0005
A_random_B0005_60_20_20,63,0.0036951028741896152,0.0017016734927892685,A,B0005,B0005
A_random_B0005_60_20_20,64,0.0029487586580216885,0.0015640049241483212,A,B0005,B0005
A_random_B0005_60_20_20,65,0.002756197238340974,0.0014341843780130148,A,B0005,B0005
A_random_B0005_60_20_20,66,0.0029653352685272694,0.0013165599666535854,A,B0005,B0005
A_random_B0005_60_20_20,67,0.002907697344198823,0.001223976258188486,A,B0005,B0005
A_random_B0005_60_20_20,68,0.002813571598380804,0.0011672069085761905,A,B0005,B0005
A_random_B0005_60_20_20,69,0.0029505041893571615,0.0011407495476305485,A,B0005,B0005
A_random_B0005_60_20_20,70,0.003596903756260872,0.0011362198274582624,A,B0005,B0005
A_random_B0005_60_20_20,71,0.0023802882060408592,0.0011460951063781977,A,B0005,B0005
A_random_B0005_60_20_20,72,0.002730945823714137,0.0011649803491309285,A,B0005,B0005
A_random_B0005_60_20_20,73,0.00302647496573627,0.0011833778116852045,A,B0005,B0005
A_random_B0005_60_20_20,74,0.0027239001356065273,0.0011924224672839046,A,B0005,B0005
A_random_B0005_60_20_20,75,0.0021336395293474197,0.001202705199830234,A,B0005,B0005
A_random_B0005_60_20_20,76,0.0019263479625806212,0.0012103510089218616,A,B0005,B0005
A_random_B0005_60_20_20,77,0.0028080549091100693,0.0012011142680421472,A,B0005,B0005
A_random_B0005_60_20_20,78,0.0022269359324127436,0.001190241426229477,A,B0005,B0005
A_random_B0005_60_20_20,79,0.0025832122191786766,0.0011665234342217445,A,B0005,B0005
A_random_B0005_60_20_20,80,0.003054751083254814,0.0011400203220546246,A,B0005,B0005
A_random_B0005_60_20_20,81,0.0026141630951315165,0.001124950242228806,A,B0005,B0005
A_random_B0005_60_20_20,82,0.0027062741573899984,0.001117796404287219,A,B0005,B0005
A_random_B0005_60_20_20,83,0.0033694617450237274,0.0011185802286490798,A,B0005,B0005
A_random_B0005_60_20_20,84,0.002302743960171938,0.0011359280906617641,A,B0005,B0005
A_random_B0005_60_20_20,85,0.002028989139944315,0.001171173877082765,A,B0005,B0005
A_random_B0005_60_20_20,86,0.002110445173457265,0.0012193330330774188,A,B0005,B0005
A_random_B0005_60_20_20,87,0.002372369635850191,0.001277027651667595,A,B0005,B0005
A_random_B0005_60_20_20,88,0.0022449777461588383,0.0013138755457475781,A,B0005,B0005
A_random_B0005_60_20_20,89,0.0025602313689887524,0.0013293068623170257,A,B0005,B0005
A_random_B0005_60_20_20,90,0.003261337988078594,0.0013148878933861852,A,B0005,B0005
A_random_B0005_60_20_20,91,0.0024431010242551565,0.0012899693101644516,A,B0005,B0005
A_random_B0005_60_20_20,92,0.002256190637126565,0.001261639641597867,A,B0005,B0005
A_random_B0005_60_20_20,93,0.002625337103381753,0.0012301476672291756,A,B0005,B0005
A_random_B0005_60_20_20,94,0.002355403732508421,0.001203964464366436,A,B0005,B0005
A_random_B0005_60_20_20,95,0.0029814387671649456,0.0011799760395660996,A,B0005,B0005
A_random_B0005_60_20_20,96,0.001974233193323016,0.0011574428062886,A,B0005,B0005
A_random_B0005_60_20_20,97,0.002604162087664008,0.0011385957477614284,A,B0005,B0005
A_random_B0005_60_20_20,98,0.0023201867006719112,0.0011235364945605397,A,B0005,B0005
A_random_B0005_60_20_20,99,0.0025057403836399317,0.001111161313019693,A,B0005,B0005
A_random_B0005_60_20_20,100,0.0019393153488636017,0.001106539275497198,A,B0005,B0005
A_random_B0005_60_20_20,101,0.002445053542032838,0.001104247523471713,A,B0005,B0005
A_random_B0005_60_20_20,102,0.002157552633434534,0.0011070284526795149,A,B0005,B0005
A_random_B0005_60_20_20,103,0.002515984931960702,0.0011190735967829823,A,B0005,B0005
A_random_B0005_60_20_20,104,0.0025880360044538975,0.0011342219077050686,A,B0005,B0005
A_random_B0005_60_20_20,105,0.0024142623879015446,0.001145676476880908,A,B0005,B0005
A_random_B0005_60_20_20,106,0.00280475034378469,0.0011516379890963435,A,B0005,B0005
A_random_B0005_60_20_20,107,0.0018133288249373436,0.0011575233656913042,A,B0005,B0005
A_random_B0005_60_20_20,108,0.002392643829807639,0.0011691226391121745,A,B0005,B0005
A_random_B0005_60_20_20,109,0.0019706925377249718,0.0011901349062100053,A,B0005,B0005
A_random_B0005_60_20_20,110,0.0019154673209413886,0.0012143441708758473,A,B0005,B0005
A_random_B0005_60_20_20,111,0.0022966088727116585,0.0012340802932158113,A,B0005,B0005
A_random_B0005_60_20_20,112,0.0022220404352992773,0.0012395692756399512,A,B0005,B0005
A_random_B0005_60_20_20,113,0.0028358884155750275,0.0012305021518841386,A,B0005,B0005
A_random_B0005_60_20_20,114,0.0029868490528315306,0.001222834805957973,A,B0005,B0005
A_random_B0005_60_20_20,115,0.0018515771953389049,0.0012088138610124588,A,B0005,B0005
A_random_B0005_60_20_20,116,0.0024622988421469927,0.0011979832779616117,A,B0005,B0005
A_random_B0005_60_20_20,117,0.0024887691251933575,0.0011921119876205921,A,B0005,B0005
A_random_B0005_60_20_20,118,0.0021604038774967194,0.0011857858626171947,A,B0005,B0005
A_random_B0005_60_20_20,119,0.002830738900229335,0.001173520809970796,A,B0005,B0005
A_random_B0005_60_20_20,120,0.002846570685505867,0.001166990608908236,A,B0005,B0005
A_random_B0005_60_20_20,121,0.0023109796456992626,0.001169669209048152,A,B0005,B0005
A_random_B0005_60_20_20,122,0.0039053044747561216,0.001175495097413659,A,B0005,B0005
A_random_B0005_60_20_20,123,0.0020385512616485357,0.0011740201152861118,A,B0005,B0005
A_random_B0005_60_20_20,124,0.0022768157068639994,0.0011617951095104218,A,B0005,B0005
A_random_B0005_60_20_20,125,0.0021538431756198406,0.00114358717110008,A,B0005,B0005
A_random_B0005_60_20_20,126,0.002245964016765356,0.0011346929240971804,A,B0005,B0005
A_random_B0005_60_20_20,127,0.003635893575847149,0.0011236100690439343,A,B0005,B0005
A_random_B0005_60_20_20,128,0.0026128445751965046,0.0011145583121106029,A,B0005,B0005
A_random_B0005_60_20_20,129,0.002055790740996599,0.0011043042177334428,A,B0005,B0005
A_random_B0005_60_20_20,130,0.002061951206997037,0.001098757260479033,A,B0005,B0005
A_random_B0005_60_20_20,131,0.002316439989954233,0.0011016866192221642,A,B0005,B0005
A_random_B0005_60_20_20,132,0.0022854958660900593,0.0011118013644590974,A,B0005,B0005
A_random_B0005_60_20_20,133,0.0020383254159241915,0.0011326472740620375,A,B0005,B0005
A_random_B0005_60_20_20,134,0.0026818206533789635,0.001158731640316546,A,B0005,B0005
A_random_B0005_60_20_20,135,0.0020674336701631546,0.0011953468201681972,A,B0005,B0005
A_random_B0005_60_20_20,136,0.0027302249800413847,0.0012300218222662807,A,B0005,B0005
A_random_B0005_60_20_20,137,0.0019929157570004463,0.0012463441817089915,A,B0005,B0005
A_random_B0005_60_20_20,138,0.0023928512819111347,0.001245946274138987,A,B0005,B0005
A_random_B0005_60_20_20,139,0.002657925244420767,0.0012417527614161372,A,B0005,B0005
A_random_B0005_60_20_20,140,0.0031903611961752176,0.0012140158796682954,A,B0005,B0005
A_random_B0005_60_20_20,141,0.002531636506319046,0.0011732029961422086,A,B0005,B0005
A_random_B0005_60_20_20,142,0.0027309488505125046,0.0011344702215865254,A,B0005,B0005
A_random_B0005_60_20_20,143,0.0018563600024208426,0.001112448750063777,A,B0005,B0005
