case,MAE_mean,RMSE_mean,R2_mean,MAE_std,RMSE_std,R2_std
A,0.2216864427973236,0.29493101649105896,0.9986737306447764,0.013172127964676452,0.04336191255488727,0.0007115235186864573
B,0.7870644404417309,0.8879732608318888,0.8727663279125326,0.3698918272990398,0.37468091736480824,0.08643369896678303
C,3.22105928727374,3.49547676803804,0.7637673300839305,2.478646125493981,2.487214971682433,0.2556237567075828
