feature,pcc,abs_pcc,rank,selected,scenario,case,source_battery,target_battery
global_cycle_index,-0.9794859748936309,0.9794859748936309,14,False,A_random_B0006_60_20_20,A,B0006,B0006
time_to_3p8v_s,0.9776792604229823,0.9776792604229823,15,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_rise,0.965353211474205,0.965353211474205,16,False,A_random_B0006_60_20_20,A,B0006,B0006
time_to_3p9v_s,0.9651205022891565,0.9651205022891565,17,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_mean,0.9628769623274397,0.9628769623274397,18,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_at_75pct_time,-0.9419843141396343,0.9419843141396343,19,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_end,0.9284397895610744,0.9284397895610744,20,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_at_75pct_time,0.9234909812231797,0.9234909812231797,21,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_range,-0.9200200176943745,0.9200200176943745,22,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_end,-0.9139656372461346,0.9139656372461346,23,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_slope,-0.9048365354046151,0.9048365354046151,24,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_at_50pct_time,-0.8690191479131378,0.8690191479131378,25,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_max,-0.8520489297539977,0.8520489297539977,26,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_mean,-0.8106894938797744,0.8106894938797744,27,False,A_random_B0006_60_20_20,A,B0006,B0006
time_to_4p0v_s,0.8017879745978518,0.8017879745978518,28,False,A_random_B0006_60_20_20,A,B0006,B0006
time_to_4p1v_s,0.7814978911448851,0.7814978911448851,29,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_std,-0.7133156944105306,0.7133156944105306,30,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_at_25pct_time,-0.4991638172020932,0.4991638172020932,31,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_min,-0.4440171801023034,0.4440171801023034,32,False,A_random_B0006_60_20_20,A,B0006,B0006
early_temp_mean,-0.2211132385818585,0.2211132385818585,33,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_start,0.16085698687246108,0.16085698687246108,34,False,A_random_B0006_60_20_20,A,B0006,B0006
temp_min,0.1602135985053615,0.1602135985053615,35,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_max,0.0995501269105026,0.0995501269105026,36,False,A_random_B0006_60_20_20,A,B0006,B0006
voltage_start,0.09925991486844093,0.09925991486844093,37,False,A_random_B0006_60_20_20,A,B0006,B0006
ambient_temperature,0.0,0.0,38,False,A_random_B0006_60_20_20,A,B0006,B0006
time_to_3p6v_s,0.9988062913470264,0.9988062913470264,1,True,A_random_B0007_60_20_20,A,B0007,B0007
time_to_3p7v_s,0.9978089788798565,0.9978089788798565,2,True,A_random_B0007_60_20_20,A,B0007,B0007
time_to_3p5v_s,0.9976511858470138,0.9976511858470138,3,True,A_random_B0007_60_20_20,A,B0007,B0007
early_voltage_slope,0.9955120898542235,0.9955120898542235,4,True,A_random_B0007_60_20_20,A,B0007,B0007
global_cycle_index,-0.9885587154040231,0.9885587154040231,5,True,A_random_B0007_60_20_20,A,B0007,B0007
cycle_index,-0.9876230880478427,0.9876230880478427,6,True,A_random_B0007_60_20_20,A,B0007,B0007
duration_s,0.9817802011524727,0.9817802011524727,7,True,A_random_B0007_60_20_20,A,B0007,B0007
time_to_3p8v_s,0.9808769014435408,0.9808769014435408,8,True,A_random_B0007_60_20_20,A,B0007,B0007
time_to_3p9v_s,0.9737830060148356,0.9737830060148356,9,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_at_25pct_time,0.9716281814334101,0.9716281814334101,10,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_at_50pct_time,0.9702492498541844,0.9702492498541844,11,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_at_75pct_time,0.9621403886632306,0.9621403886632306,12,False,A_random_B0007_60_20_20,A,B0007,B0007
early_voltage_mean,0.959393633132214,0.959393633132214,13,False,A_random_B0007_60_20_20,A,B0007,B0007
time_to_4p0v_s,0.9583862602575889,0.9583862602575889,14,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_mean,0.9583115823465013,0.9583115823465013,15,False,A_random_B0007_60_20_20,A,B0007,B0007
avg_power_w,0.8740721347091372,0.8740721347091372,16,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_range,-0.8392592457889344,0.8392592457889344,17,False,A_random_B0007_60_20_20,A,B0007,B0007
current_mean,-0.8047140541508485,0.8047140541508485,18,False,A_random_B0007_60_20_20,A,B0007,B0007
current_abs_mean,0.8047026675448714,0.8047026675448714,19,False,A_random_B0007_60_20_20,A,B0007,B0007
current_std,-0.77287836235434,0.77287836235434,20,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_at_75pct_time,-0.7473931232807228,0.7473931232807228,21,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_end,-0.7351689975815263,0.7351689975815263,22,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_max,-0.7067166293650197,0.7067166293650197,23,False,A_random_B0007_60_20_20,A,B0007,B0007
time_to_4p1v_s,0.6741530029056059,0.6741530029056059,24,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_slope,-0.6379422753492099,0.6379422753492099,25,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_mean,-0.5228457034417043,0.5228457034417043,26,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_std,-0.4783499833395216,0.4783499833395216,27,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_at_50pct_time,-0.3915755551209395,0.3915755551209395,28,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_min,-0.29541971180389826,0.29541971180389826,29,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_at_25pct_time,0.15130755162067971,0.15130755162067971,30,False,A_random_B0007_60_20_20,A,B0007,B0007
early_temp_mean,0.11616570760315521,0.11616570760315521,31,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_start,0.08286400301049618,0.08286400301049618,32,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_min,0.0807943981266996,0.0807943981266996,33,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_max,0.045641245415928226,0.045641245415928226,34,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_end,0.041155092173107324,0.041155092173107324,35,False,A_random_B0007_60_20_20,A,B0007,B0007
voltage_start,0.035789154892473224,0.035789154892473224,36,False,A_random_B0007_60_20_20,A,B0007,B0007
temp_rise,-0.009885897084239646,0.009885897084239646,37,False,A_random_B0007_60_20_20,A,B0007,B0007
ambient_temperature,0.0,0.0,38,False,A_random_B0007_60_20_20,A,B0007,B0007
time_to_3p5v_s,0.9975172264437098,0.9975172264437098,1,True,A_random_B0018_60_20_20,A,B0018,B0018
time_to_3p6v_s,0.9969097056009267,0.9969097056009267,2,True,A_random_B0018_60_20_20,A,B0018,B0018
time_to_3p7v_s,0.9935952463506421,0.9935952463506421,3,True,A_random_B0018_60_20_20,A,B0018,B0018
duration_s,0.9919526415016493,0.9919526415016493,4,True,A_random_B0018_60_20_20,A,B0018,B0018
voltage_at_50pct_time,0.9898891523512827,0.9898891523512827,5,True,A_random_B0018_60_20_20,A,B0018,B0018
voltage_mean,0.987779210045349,0.987779210045349,6,True,A_random_B0018_60_20_20,A,B0018,B0018
voltage_at_25pct_time,0.9863645739603502,0.9863645739603502,7,True,A_random_B0018_60_20_20,A,B0018,B0018
voltage_at_75pct_time,0.9857104121115556,0.9857104121115556,8,True,A_random_B0018_60_20_20,A,B0018,B0018
