epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.812052,32.3780,1.495714,43.9800,20.75
2,0.1,1.319859,52.0980,1.143840,60.2600,4.05
3,0.1,1.017524,64.0940,0.967676,66.3700,4.02
4,0.1,0.826867,70.8780,0.768874,73.4700,4.31
5,0.1,0.711231,75.2260,0.884334,71.0100,5.61
6,0.1,0.639298,77.7600,0.710597,76.3300,5.03
7,0.1,0.587038,79.5480,0.638292,78.2300,6.98
8,0.1,0.545316,80.9820,0.565698,80.8200,8.42
9,0.1,0.513714,82.3420,0.599388,79.6100,8.32
10,0.1,0.485622,83.2440,0.632875,78.8700,9.75
11,0.1,0.467279,83.9040,0.525003,82.4500,11.86
12,0.1,0.443126,84.5080,0.557984,81.7100,14.79
13,0.1,0.423377,85.3600,0.513492,82.7200,15.18
14,0.1,0.410147,85.8300,0.478482,83.5700,15.10
15,0.1,0.394689,86.3000,0.469175,84.1900,14.94
16,0.1,0.386311,86.6900,0.449461,84.4700,15.07
17,0.1,0.373749,87.0860,0.449699,84.3400,15.25
18,0.1,0.362966,87.3560,0.441527,85.1600,15.21
19,0.1,0.353607,87.7240,0.454706,85.1000,14.95
20,0.1,0.343110,88.1260,0.420540,85.9800,15.12
21,0.1,0.335183,88.3020,0.474972,84.1500,15.29
22,0.1,0.329551,88.5340,0.525978,82.9700,15.00
23,0.1,0.319512,88.9340,0.484880,84.4200,15.01
24,0.1,0.315140,89.0700,0.475966,84.3400,14.99
25,0.1,0.311927,89.1360,0.424558,85.7800,15.06
26,0.1,0.309684,89.2540,0.384737,87.0700,15.04
27,0.1,0.301264,89.4500,0.446186,85.1500,15.14
28,0.1,0.293581,89.7980,0.404078,86.5600,15.09
29,0.1,0.289613,89.9040,0.617223,80.8800,15.02
30,0.1,0.287204,89.8680,0.565616,83.4000,14.95
31,0.1,0.284714,90.0180,0.355949,87.6300,14.95
32,0.1,0.278278,90.2920,0.391941,86.6300,15.15
33,0.1,0.271784,90.6440,0.383728,87.3300,15.05
34,0.1,0.268318,90.6140,0.430829,85.7600,15.03
35,0.1,0.269710,90.4820,0.421648,86.2700,15.03
36,0.1,0.263323,90.7740,0.505197,84.7400,15.18
37,0.1,0.265105,90.8180,0.467143,85.6000,15.08
38,0.1,0.259717,90.8480,0.415761,86.2800,15.16
39,0.1,0.255007,91.0800,0.680670,79.7500,15.17
40,0.1,0.253531,91.3120,0.413393,86.8800,14.96
41,0.1,0.253972,91.2320,0.356792,88.0900,15.14
42,0.1,0.244703,91.5340,0.405644,86.9200,14.96
43,0.1,0.244804,91.4020,0.389126,86.9100,15.17
44,0.1,0.244847,91.2940,0.388306,87.5500,15.03
45,0.1,0.247870,91.2460,0.493260,84.7900,15.05
46,0.1,0.241406,91.5620,0.359535,88.3800,14.97
