true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,20,0,0,0,0,191,44,0,19,0
BMP2,0,57,5,55,68,0,0,10,0,0
BRDM_2,0,0,271,0,0,0,0,0,0,3
BTR60,0,39,8,92,46,0,0,10,0,0
BTR70,0,16,6,58,116,0,0,0,0,0
D7,0,0,0,0,0,107,0,0,162,5
T62,0,0,0,0,0,20,88,0,71,94
T72,0,0,5,38,0,0,0,152,0,1
ZIL131,0,0,0,0,0,0,0,0,272,2
ZSU_23_4,0,0,0,0,0,0,1,0,1,272
