iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-24-56,30.946968,42.4600,0.737294,0.782656
2,16-24-56,30.946968,42.4600,0.737294,0.782656
3,16-24-56,30.946968,42.4600,0.737294,0.782656
4,16-24-56,30.946968,42.4600,0.737294,0.782656
5,16-24-56,30.946968,42.4600,0.737294,0.782656
