epoch,lr,train_loss,loss_x,loss_u,pseudo_label_used_rate,labeled_train_acc,test_loss,test_acc,best_acc
1,0.0009996145181203615,1.504178182074898,1.503109502164941,0.0010686827560053452,0.005345394736842105,0.4194078947368421,8.707158902760634,0.21649484536082475,0.21649484536082475
2,0.000998458666866564,0.8880681301418104,0.8766091905142132,0.01145893874529161,0.08388157894736842,0.649671052631579,2.653952809553785,0.37608247422680413,0.37608247422680413
3,0.0009965342284774632,0.8257565059159931,0.7976210838869998,0.028135413867666534,0.1225328947368421,0.6710526315789473,3.400836872489182,0.22845360824742267,0.37608247422680413
4,0.0009938441702975688,0.7594007473242911,0.741961658000946,0.017439091774193866,0.15748355263157895,0.6907894736842105,1.3645716825711358,0.505979381443299,0.505979381443299
5,0.0009903926402016151,0.6674473505271109,0.6450169525648418,0.022430397141234654,0.15830592105263158,0.7483552631578947,2.801438330473359,0.3909278350515464,0.505979381443299
6,0.0009861849601988382,0.6396384599961733,0.609974676056912,0.0296637825912943,0.21217105263157895,0.7730263157894737,1.0488326504212064,0.6103092783505155,0.6103092783505155
7,0.0009812276182268236,0.5246731795762715,0.4970142072752902,0.02765896842863999,0.2870065789473684,0.8256578947368421,13.25871704180216,0.0890721649484536,0.6103092783505155
8,0.0009755282581475768,0.47469329833984375,0.4576371139601657,0.01705618462476291,0.30386513157894735,0.805921052631579,3.7723423160965908,0.3938144329896907,0.6103092783505155
9,0.0009690956679612421,0.5205867243440527,0.4959471147311361,0.024639608338475227,0.34745065789473684,0.8256578947368421,12.566627213340308,0.16329896907216496,0.6103092783505155
10,0.0009619397662556433,0.519999645258251,0.49282655904167577,0.02717308337359052,0.3597861842105263,0.7993421052631579,7.023690963430503,0.19876288659793814,0.6103092783505155
11,0.0009540715869125406,0.4412322922756797,0.4107153721545872,0.03051691982699068,0.3815789473684211,0.850328947368421,16.234770294661374,0.2894845360824742,0.6103092783505155
12,0.0009455032620941839,0.39687469052641017,0.36744802798095505,0.02942666582959263,0.42023026315789475,0.8569078947368421,8.540226661529651,0.3649484536082474,0.6103092783505155
13,0.0009362480035363986,0.4704012039460634,0.4430748632079677,0.027326344414369055,0.4115953947368421,0.8289473684210527,6.822051540256775,0.2309278350515464,0.6103092783505155
14,0.0009263200821770461,0.38835370697473226,0.3617197377117057,0.026633968184653082,0.4029605263157895,0.875,7.601412135645286,0.21195876288659793,0.6103092783505155
15,0.0009157348061512728,0.4064219201865949,0.3681512733823375,0.038270649647242146,0.4790296052631579,0.8601973684210527,3.800393103471721,0.4107216494845361,0.6103092783505155
16,0.0009045084971874739,0.3115091112099196,0.2706589847803116,0.040850125155166575,0.5123355263157895,0.9046052631578947,2.3661027137107533,0.48041237113402063,0.6103092783505155
17,0.0008926584654403725,0.39701462497836665,0.36415507722842066,0.032859550494896736,0.5115131578947368,0.8536184210526315,6.157817244241494,0.457319587628866,0.6103092783505155
18,0.0008802029828000156,0.32177902993402985,0.2825111566405547,0.039267871822965775,0.53125,0.9013157894736842,11.362420805852437,0.25938144329896906,0.6103092783505155
19,0.0008671612547178428,0.3247806994538558,0.2986362419630352,0.026144452246004028,0.5057565789473685,0.899671052631579,12.073085022759193,0.16536082474226804,0.6103092783505155
20,0.0008535533905932737,0.3011338632357748,0.2608187065312737,0.040315154988906886,0.5217927631578947,0.9095394736842105,2.0192641229965465,0.5769072164948453,0.6103092783505155
21,0.0008394003727664709,0.2206566169073707,0.18512258580640742,0.03553402830699557,0.5879934210526315,0.9391447368421053,4.541213695351276,0.4024742268041237,0.6103092783505155
22,0.0008247240241650919,0.24020785956006302,0.19805773229975449,0.04215012431928986,0.6245888157894737,0.9407894736842105,9.7895577573156,0.2915463917525773,0.6103092783505155
23,0.000809546974654917,0.214509464408222,0.17483999736999212,0.039669468802841085,0.6032072368421053,0.9457236842105263,6.144598364746486,0.40371134020618554,0.6103092783505155
24,0.0007938926261462366,0.2227743464080911,0.18158159797128878,0.04119274971124373,0.626233552631579,0.9457236842105263,1.139317679743177,0.7039175257731959,0.7039175257731959
25,0.0007777851165098012,0.14884608356576218,0.11235251669820986,0.036493565593110885,0.6233552631578947,0.9736842105263158,3.2079997495448542,0.4964948453608247,0.7039175257731959
26,0.0007612492823579744,0.16098157747795708,0.12450394897084487,0.03647762752677265,0.6537828947368421,0.9720394736842105,12.00956559318857,0.22474226804123712,0.7039175257731959
27,0.0007443106207484776,0.13396490031951352,0.09790411669957011,0.03606078406109622,0.6554276315789473,0.9703947368421053,1.944616227549376,0.6263917525773196,0.7039175257731959
28,0.0007269952498697734,0.14241047105506846,0.09868967356650453,0.04372079846890349,0.6788651315789473,0.9769736842105263,2.390202085652302,0.5076288659793814,0.7039175257731959
29,0.0007093298687687142,0.20424832795795642,0.1502972478537183,0.05395108245705303,0.6895559210526315,0.944078947368421,11.359502063743847,0.23835051546391753,0.7039175257731959
30,0.000691341716182545,0.16518080979585648,0.12754115148594505,0.037639657917775605,0.6426809210526315,0.9572368421052632,7.343712797622706,0.3476288659793814,0.7039175257731959
31,0.0006730585285387465,0.16016585458266108,0.10607334765556611,0.05409250820153638,0.694078947368421,0.9654605263157895,1.6764942916564913,0.6247422680412371,0.7039175257731959
32,0.0006545084971874737,0.11989745144781314,0.07636972614809086,0.043527722897890364,0.688733552631579,0.9802631578947368,8.387578841902545,0.2548453608247423,0.7039175257731959
33,0.0006357202249325371,0.14856994936340734,0.10482694090981233,0.04374300698308568,0.6961348684210527,0.9654605263157895,1.272631337189298,0.6903092783505155,0.7039175257731959
34,0.0006167226819279528,0.09436658828666336,0.05935171991586685,0.035014869008017216,0.7216282894736842,0.993421052631579,0.395707473240255,0.8746391752577319,0.8746391752577319
35,0.0005975451610080642,0.09169784756867509,0.04775695502758026,0.04394089205092505,0.7582236842105263,0.993421052631579,1.5108118652007014,0.6762886597938145,0.8746391752577319
36,0.0005782172325201155,0.11147545954506648,0.06212301076831002,0.04935244818855273,0.759046052631579,0.9835526315789473,1.1826193399331772,0.7010309278350515,0.8746391752577319
37,0.0005587686987289189,0.08517301837472539,0.042744383510006104,0.04242863447258347,0.7775493421052632,0.9884868421052632,4.50503540463322,0.42391752577319586,0.8746391752577319
38,0.0005392295478639225,0.09289288775701272,0.044747106363310626,0.04814578122214267,0.7944078947368421,0.9901315789473685,1.6585133883449221,0.7002061855670103,0.8746391752577319
39,0.0005196299078795343,0.08481357677986748,0.03749814730039552,0.04731543009218417,0.7927631578947368,0.9901315789473685,4.550614422064313,0.46515463917525773,0.8746391752577319
40,0.0005,0.0640970972415648,0.0317273002706076,0.032369796627838364,0.7931743421052632,0.9917763157894737,2.0258982010477595,0.5488659793814433,0.8746391752577319
41,0.00048037009212046586,0.07070486031864819,0.025935838366613576,0.0447690224176959,0.8079769736842105,0.9967105263157895,3.429605714722434,0.5839175257731959,0.8746391752577319
42,0.00046077045213607765,0.10833160520384186,0.05254178822628761,0.05578981756575798,0.7890625,0.9819078947368421,1.468255494099462,0.6969072164948453,0.8746391752577319
43,0.0004412313012710813,0.06704395980035004,0.020897376253024527,0.046146584135529245,0.8157894736842105,0.9983552631578947,1.100172885582427,0.770721649484536,0.8746391752577319
44,0.00042178276747988476,0.06241129593629586,0.02659746600118907,0.03581382951846248,0.8125,0.9950657894736842,1.8889854343414707,0.6779381443298969,0.8746391752577319
45,0.000402454838991936,0.07845927912153695,0.03322261815743619,0.045236661392999325,0.8240131578947368,0.9950657894736842,0.6886628068678182,0.831340206185567,0.8746391752577319
46,0.00038327731807204744,0.06568436608894875,0.02928837082397781,0.036395995583581295,0.842516447368421,0.9950657894736842,0.5686068550574104,0.8531958762886598,0.8746391752577319
47,0.00036427977506746286,0.06052533605773198,0.02229634647894847,0.03822898796122325,0.8462171052631579,0.993421052631579,1.538931208784721,0.7162886597938144,0.8746391752577319
48,0.00034549150281252644,0.035703221139939206,0.008246860797762087,0.02745636023188892,0.8486842105263158,1.0,2.9902998173113953,0.5896907216494846,0.8746391752577319
49,0.00032694147146125374,0.04029137798045811,0.012495287632765738,0.027796090629539992,0.8453947368421053,0.9983552631578947,1.7892558212720666,0.7121649484536082,0.8746391752577319
50,0.0003086582838174553,0.0573033569380641,0.011832282449559946,0.045471074696826305,0.8482730263157895,1.0,1.3034220382680435,0.7439175257731959,0.8746391752577319
51,0.00029067013123128623,0.049330723913092366,0.0138275093938175,0.035503214519274864,0.8680098684210527,1.0,1.260446797606941,0.7476288659793815,0.8746391752577319
52,0.0002730047501302268,0.0868727940281755,0.042698796017487585,0.04417399709161959,0.8379934210526315,0.9901315789473685,1.7468527509656149,0.7125773195876288,0.8746391752577319
53,0.0002556893792515226,0.06886143766735729,0.026460694774103007,0.04240074317510191,0.842516447368421,0.993421052631579,2.5753605697216706,0.6412371134020619,0.8746391752577319
54,0.00023875071764202575,0.06041850345699411,0.021793427325687127,0.0386250759720018,0.8507401315789473,0.9950657894736842,3.4289251335364153,0.5929896907216495,0.8746391752577319
55,0.000222214883490199,0.05050527319116028,0.013893195617894986,0.03661207798378248,0.8523848684210527,0.9983552631578947,2.1292593080767936,0.6705154639175258,0.8746391752577319
56,0.00020610737385376362,0.04120972693750733,0.009505737144009848,0.031703989805751724,0.8573190789473685,1.0,1.2661208852082604,0.7509278350515464,0.8746391752577319
57,0.00019045302534508325,0.051034875998371525,0.008879659887354233,0.04215521571275435,0.8692434210526315,1.0,0.7460587124759811,0.8309278350515464,0.8746391752577319
58,0.00017527597583490834,0.035617330405665074,0.008272596598161678,0.027344733672706706,0.8585526315789473,0.9967105263157895,2.3711484182233553,0.6449484536082474,0.8746391752577319
59,0.00016059962723352931,0.04122403288554204,0.009437804588263756,0.03178622848109195,0.8725328947368421,1.0,1.6346760144579426,0.702680412371134,0.8746391752577319
60,0.00014644660940672636,0.03847991680040171,0.010649512920185532,0.02783040398437726,0.8733552631578947,0.9983552631578947,0.5630308069315014,0.8639175257731959,0.8746391752577319
61,0.00013283874528215725,0.040373251332264194,0.007874982805285407,0.0324982681164616,0.8758223684210527,0.9983552631578947,1.0458502512708963,0.7781443298969072,0.8746391752577319
62,0.0001197970171999846,0.037879847088142446,0.008108012316944567,0.029771834513858744,0.881578947368421,1.0,1.2700008376226792,0.7447422680412371,0.8746391752577319
63,0.00010734153455962753,0.0334905868298129,0.004416240844875574,0.02907434551927604,0.8811677631578947,1.0,1.4042896561750982,0.742680412371134,0.8746391752577319
64,9.549150281252638e-05,0.04157216449905383,0.005374175281950126,0.03619798929675629,0.8774671052631579,1.0,1.3156674061727283,0.7521649484536083,0.8746391752577319
