true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,223,0,4,0,0,1,46,0,0,0
BMP2,0,146,15,16,10,0,0,8,0,0
BRDM_2,0,0,274,0,0,0,0,0,0,0
BTR60,0,26,9,131,27,0,0,2,0,0
BTR70,0,13,11,8,164,0,0,0,0,0
D7,0,0,0,0,0,269,0,0,0,5
T62,0,0,0,0,0,2,228,0,0,43
T72,0,20,8,14,0,0,0,154,0,0
ZIL131,0,0,0,0,0,13,0,0,260,1
ZSU_23_4,0,0,1,0,0,1,0,0,0,272
