epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,14.716887,2.550421,19.931088,0.000000,32.4220,2.881788,36.2100,48.17
2,0.1,10.518919,2.026043,14.158723,0.000000,50.3180,2.574126,48.0400,2.76
3,0.1,8.502427,1.745190,11.398387,0.000000,60.0240,3.207005,51.8900,2.78
4,0.1,7.423678,1.555527,9.938600,0.000000,64.7780,2.606065,58.0100,2.79
5,0.1,6.587400,1.399699,8.810700,0.000000,68.2680,1.909159,66.3600,2.85
6,0.1,5.942068,1.289536,7.936010,0.000000,71.4900,1.717321,66.2600,2.86
7,0.1,5.315027,1.169211,7.091806,0.000000,74.2060,2.086366,64.8300,2.85
8,0.1,4.921735,1.092794,6.562710,0.000000,75.9320,1.404558,72.6800,2.92
9,0.1,4.548116,1.008970,6.064893,0.000000,77.4940,1.789558,69.3300,2.87
10,0.1,4.248342,0.949676,5.662056,0.000000,79.0360,1.415499,74.6100,2.90
11,0.1,4.018020,0.896015,5.356022,0.000000,79.9940,1.882816,68.8500,2.94
12,0.1,3.831070,0.858807,5.104896,0.000000,80.9040,1.314146,74.1300,2.96
13,0.1,3.632198,0.811481,4.841076,0.000000,81.8240,1.574176,70.8800,2.96
14,0.1,3.469653,0.774867,4.624561,0.000000,82.6860,1.285218,75.8700,2.90
15,0.1,3.393416,0.757074,4.523277,0.000000,82.9620,1.432427,73.8100,2.92
16,0.1,3.286505,0.729272,4.382462,0.000000,83.5700,1.285507,76.7000,2.89
17,0.1,3.126076,0.696908,4.167148,0.000000,84.2000,1.043173,79.2000,2.88
18,0.1,3.065863,0.682412,4.087342,0.000000,84.4540,1.366787,75.6800,2.87
19,0.1,2.970138,0.656889,3.961530,0.000000,85.0340,0.938737,80.1700,2.86
20,0.1,2.905987,0.644007,3.875407,0.000000,85.2920,1.284218,77.8800,2.92
21,0.1,2.827702,0.623890,3.772192,0.000000,85.5860,1.166030,77.9400,2.84
22,0.1,2.773369,0.610927,3.700130,0.000000,86.0580,1.469309,72.9600,2.88
23,0.1,2.729234,0.602444,3.640715,0.000000,85.9860,1.255312,76.5900,2.85
24,0.1,2.661744,0.587886,3.550540,0.000000,86.5240,0.890601,82.2800,2.93
