generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.042322,12.4400,0.704650,0.725908
2,16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.042322,12.4400,0.704650,0.725908
3,16-12-12-12-16-32-28-24-32-20-64-64-64-48-32,-416.751570,13.2400,0.759390,0.749462
4,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-386.493930,18.2000,0.736949,0.710919
5,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-386.493930,18.2000,0.736949,0.710919
