channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
8-8-8-8-8-20-16-28-28-20-64-40-32-64-48,-425.8472464003496,11.059999856567384,15.129999755859375,2.519542506027222,3.7331446910858155,262386,30855648,0.5652994480280252,0.4480756112113816,0.43470055197197477,0.5519243887886184,85.91999858093261,429.59999290466305,40.85083723068237,1,True
12-8-12-16-12-28-32-16-24-24-48-56-40-56-48,-429.085081102673,10.799999737548829,15.039999475097657,3.61453793258667,3.408711585235596,280486,41066976,0.6042951261865674,0.5963611709533094,0.39570487381343256,0.4036388290466906,86.17999869995117,430.89999349975585,40.73796820640564,1,True
8-8-16-12-16-20-32-28-20-32-40-32-64-56-40,-432.8801244890117,10.1599994972229,13.839999487304688,3.4401001544952394,3.875425556945801,272338,41361808,0.586740607643153,0.6006426246633295,0.41325939235684706,0.3993573753366705,86.8199989402771,434.0999947013855,14.374889135360718,1,True
16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.04232234125993,12.43999970703125,17.419999325561523,2.6018758224487306,3.37249157371521,327066,49987904,0.7046497498675008,0.7259079646609875,0.29535025013249916,0.2740920353390125,84.53999873046875,422.6999936523438,9.81476092338562,1,True
8-12-8-8-12-20-24-32-24-16-48-32-32-56-56,-431.65452671994973,10.059999584960938,12.869999545288087,2.5613194763183595,3.4362312927246093,229586,31961648,0.4946332467241476,0.46413658085945997,0.5053667532758523,0.53586341914054,86.91999885253907,434.5999942626953,18.344987869262695,1,True
8-16-12-16-16-20-20-28-16-20-64-56-56-32-32,-437.07692312128404,9.419999867248535,12.499999519348144,2.613146896362305,3.003570864868164,266162,40145216,0.5734346790073984,0.5829756742238225,0.4265653209926016,0.41702432577617754,87.55999857025147,437.79999285125734,8.880546569824219,1,True
12-8-12-8-8-24-16-28-20-32-32-56-64-40-40,-422.0620153921546,11.759999821472167,16.57999978942871,2.3489978771209716,3.2813373767852783,256662,34136464,0.5529673341175558,0.4957185462899799,0.44703266588244417,0.5042814537100201,85.21999861602784,426.0999930801392,8.211218118667603,1,True
16-16-12-16-8-32-24-20-20-24-48-48-32-48-48,-432.1801850576722,10.239999572753906,17.48999963378906,12.972244174194335,3.6544676918029784,240490,42209760,0.5181254497429733,0.6129563057980739,0.48187455025702675,0.3870436942019261,86.7399988647461,433.6999943237305,10.429889917373657,1,True
8-8-8-8-8-20-16-32-24-16-48-40-32-56-48,-424.3218486931735,11.159999601745605,15.729999578857422,2.772078297042847,3.3358718742370606,219218,27685344,0.47229583284858045,0.4020374951904221,0.5277041671514195,0.5979625048095779,85.81999883575439,429.09999417877196,6.4637720584869385,1,True
12-8-12-8-8-24-16-16-20-24-32-56-64-40-40,-431.4182836444135,10.079999594116211,16.29999931335449,12.089863084411622,3.3738848136901853,240166,30376336,0.5174274055593617,0.4411151993814,0.48257259444063827,0.5588848006186,86.89999884338378,434.49999421691894,2.899423599243164,1,True
16-8-12-12-16-32-28-24-32-32-64-56-64-40-40,-437.70822552140066,9.719999717712403,14.98999938659668,7.71758231048584,3.714130376815796,343770,51130768,0.7406378055559146,0.742504261239542,0.25936219444408537,0.25749573876045795,87.2599987197876,436.29999359893804,0.3877241611480713,1,True
12-12-12-8-8-32-16-28-20-20-32-64-64-40-40,-424.6210259464891,11.399999629211425,15.689999728393556,2.715614094543457,3.51209455871582,268358,36016528,0.5781658673629873,0.5230202197442698,0.42183413263701275,0.4769797802557302,85.57999880828858,427.8999940414429,2.149413824081421,1,True
16-12-12-12-16-32-28-24-32-20-48-64-64-32-32,-435.59528562353495,9.919999719238282,18.14999953918457,3.285449828720093,3.1845475036621096,298778,48181568,0.6437044601576201,0.6996769450676501,0.35629553984237994,0.3003230549323499,87.05999871826172,435.29999359130863,5.317723274230957,1,True
12-8-12-12-8-24-16-28-20-32-64-56-56-32-40,-439.36107809005915,8.999999594116211,16.88999925842285,2.682118724441528,3.376815524673462,283526,37233040,0.610844676551317,0.5406860084499869,0.389155323448683,0.45931399155001307,87.97999884338378,439.8999942169189,3.851947546005249,1,True
8-8-12-12-8-20-28-32-24-16-64-64-32-32-32,-431.4349178714078,10.179999681091308,14.029999740600585,2.8179914352416993,3.2953436088562014,247218,34099520,0.5326206388396955,0.49518205762571355,0.46737936116030454,0.5048179423742865,86.7999987564087,433.9999937820435,3.0051803588867188,1,True
8-12-8-8-16-20-16-28-16-16-32-64-32-40-40,-432.54253580700805,9.759999708557128,12.379999574279784,2.4437359104156493,2.8557468589782715,196610,28127632,0.4235878609254687,0.4084602566223473,0.5764121390745314,0.5915397433776527,87.21999872894287,436.09999364471435,3.03265118598938,1,True
16-12-12-12-16-32-28-24-32-20-64-64-64-48-32,-416.7515697899505,13.23999948425293,17.199999560546875,2.4738152320861815,3.488131876373291,352474,51609920,0.7593902023897241,0.7494623496019436,0.2406097976102759,0.2505376503980564,83.73999895324707,418.69999476623536,0.524214506149292,1,True
16-12-12-12-8-32-16-24-20-20-64-64-64-32-40,-428.05362950577063,11.039999758911133,17.839999417114257,2.668986693954468,3.3449611904144287,308474,41804176,0.6645940786894005,0.6070665478290448,0.33540592131059954,0.3929334521709552,85.93999867858886,429.6999933929443,0.6836833953857422,1,True
16-12-12-12-16-16-28-24-32-20-64-64-64-32-32,-425.4464214603336,11.599999610900879,17.209999462890625,2.807576197052002,3.370322395706177,313754,46596416,0.6759696135334393,0.6766578870571703,0.3240303864665607,0.32334211294282966,85.37999882659912,426.89999413299563,3.138024091720581,1,True
16-12-12-12-16-32-24-24-32-20-64-64-64-32-32,-422.41573071037527,12.179999432373046,17.36999948425293,2.5578781547546385,3.384611758804321,323162,48992576,0.6962387483464539,0.7114541375381281,0.30376125165354606,0.28854586246187186,84.79999900512695,423.99999502563475,0.5196781158447266,1,True
16-12-12-12-16-32-32-24-20-20-64-64-64-32-32,-405.0250881610036,15.059999188232421,25.799999536132812,2.6149866455078126,2.8287624557495117,320842,48402752,0.6912404072786187,0.7028889066505077,0.3087595927213813,0.29711109334949226,81.91999924926758,409.59999624633787,0.41530370712280273,1,True
16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-386.493930425659,18.199999456787108,26.789998944091796,2.638553589630127,2.8412112432479857,342058,48955712,0.7369493745610293,0.7109188106076518,0.26305062543897073,0.28908118939234817,78.77999898071289,393.89999490356445,0.41926074028015137,1,True
16-12-8-12-16-32-28-24-32-20-64-64-64-48-32,-431.97878840485527,10.659999797058106,16.649999630737305,2.666266421890259,3.4237617317199707,350874,49987904,0.7559430706188033,0.7259079646609875,0.24405692938119672,0.2740920353390125,86.3199986404419,431.5999932022095,0.4935340881347656,1,True
16-12-12-12-16-32-32-24-20-20-40-64-64-32-32,-422.0892042361689,12.07999973449707,19.199999688720702,2.7759040981292724,3.1753903804779053,280138,45803840,0.603545375026392,0.6651483580519304,0.39645462497360795,0.3348516419480696,84.89999870300294,424.4999935150147,5.874159336090088,1,True
16-12-12-12-8-32-16-20-20-20-64-64-64-32-40,-437.63536594750997,9.420000030517578,16.599999655151368,3.0857109039306643,3.5329291286468507,305578,41066896,0.6583547701840338,0.5963600092195194,0.34164522981596623,0.40363999078048063,87.55999840698243,437.7999920349122,0.42269301414489746,1,True
16-16-12-12-12-16-16-28-28-20-56-48-40-40-48,-407.4142445196872,14.339999365234375,27.989999005126954,3.4160335472106933,2.9671987720489503,244218,40790496,0.5261572667692188,0.5923462189747374,0.4738427332307812,0.4076537810252626,82.63999907226562,413.1999953613281,7.42843222618103,1,True
8-8-12-16-8-24-28-24-32-28-48-32-48-56-40,-439.0237452505644,9.019999671936036,14.999999768066406,3.64913278427124,3.541478601074219,252418,38044048,0.5438238170951882,0.552463200920465,0.45617618290481177,0.44753679907953503,87.95999876556397,439.79999382781983,4.5008909702301025,1,True
12-16-16-8-12-28-20-32-32-24-40-32-40-40-40,-434.4582768609987,9.759999708557128,15.379999633789062,22.948889987182618,3.414458054351807,208966,40403344,0.45020833602640503,0.5867241244709465,0.5497916639735949,0.41327587552905354,87.21999872894287,436.09999364471435,3.2509026527404785,1,True
8-8-8-16-8-24-24-24-24-28-32-32-48-48-48,-424.1797376776014,11.279999786376953,15.239999563598634,16.06725703125,3.5239544860839844,215218,31961568,0.4636780034212783,0.46413541912566986,0.5363219965787217,0.5358645808743301,85.69999865112305,428.49999325561527,2.312408685684204,1,True
12-8-12-16-12-24-32-20-20-16-56-48-48-64-32,-440.78622831315096,8.799999769592285,15.08999928894043,2.6203688079833984,3.2277762771606446,276102,39334208,0.5948499851342443,0.5711984817533444,0.40515001486575575,0.4288015182466556,88.17999866790771,440.8999933395386,5.094782590866089,1,True
12-8-16-12-12-16-32-24-16-24-40-32-40-40-64,-420.4905434545946,11.979999865722656,12.749999327087401,14.26595528869629,3.8185471576690673,218406,35242624,0.4705464134748381,0.5117818394056384,0.529453586525162,0.4882181605943616,84.99999857177734,424.9999928588867,0.404674768447876,1,True
16-12-16-12-12-32-32-24-20-20-40-48-48-64-56,-436.7635142871586,9.719999717712403,17.71999932861328,25.733756237792967,3.8403170108795166,304522,47536688,0.6560796632152259,0.6903122089856856,0.34392033678477407,0.30968779101431443,87.2599987197876,436.29999359893804,2.4788224697113037,1,True
16-8-8-8-12-24-28-20-24-24-56-56-32-48-64,-428.4836401931433,10.839999531555176,18.319999517822264,3.714966385650635,4.437049470901489,284202,38302336,0.6123010897245311,0.5562139746351691,0.3876989102754689,0.4437860253648309,86.13999890594482,430.6999945297241,2.970036745071411,1,True
12-12-12-12-12-24-24-28-28-24-56-32-40-48-48,-400.7880280945011,15.399999438476563,17.789999404907228,4.9602696884155275,3.71684069480896,243110,39039456,0.5237701280178562,0.5669181897771144,0.47622987198214384,0.4330818102228856,81.57999899902345,407.89999499511725,0.559537410736084,1,True
12-16-12-8-12-24-16-28-28-20-48-56-32-40-40,-439.9254037491667,8.779999671936036,15.609999716186524,2.8712328132629397,3.5728468322753906,224806,36385168,0.4843349405585215,0.5283734890490326,0.5156650594414784,0.4716265109509674,88.19999876556396,440.9999938278198,0.6693074703216553,1,True
12-12-16-16-12-16-20-28-28-20-48-32-40-40-48,-406.3483651466685,14.399999508666992,16.89999954223633,3.2924808860778807,3.582961968612671,209750,38486496,0.45189743059415627,0.5588882858199703,0.5481025694058437,0.4411117141800297,82.579998928833,412.899994644165,0.6059315204620361,1,True
16-16-12-12-12-16-20-24-32-20-56-48-40-48-40,-438.09632674988836,9.259999583435059,14.879999563598632,2.61509609375,3.3773508460998536,250058,41748880,0.5387392977330799,0.6062635574333304,0.46126070226692006,0.3937364425666696,87.71999885406494,438.5999942703247,0.6038098335266113,1,True
16-12-16-12-12-16-16-28-20-20-48-48-40-40-48,-414.3706749147109,13.079999636840821,20.189999508666993,2.7758906238555907,3.453559065246582,224714,38080992,0.4841367304816936,0.5529996895847313,0.5158632695183064,0.44700031041526866,83.89999880065918,419.4999940032959,0.6577401161193848,1,True
16-12-12-12-12-20-28-28-28-20-48-48-40-32-48,-381.03979080933425,18.699999465942383,26.379999432373047,4.037253185272217,3.0624343982696534,230522,40329696,0.4966498188101363,0.585654632343784,0.5033501811898637,0.414345367656216,78.27999897155762,391.3999948577881,0.7135586738586426,1,True
16-16-8-12-12-16-16-24-28-20-56-48-40-48-56,-422.08806337389666,11.899999815368652,18.029999603271484,3.043024628829956,3.991919761657715,262762,39647792,0.5661095239941916,0.5757522458637631,0.43389047600580843,0.42424775413623694,85.07999862213134,425.39999311065674,0.7987160682678223,1,True
16-12-12-12-12-20-32-28-28-20-56-48-40-40-48,-428.5067342473122,10.899999580383302,20.61999920043945,2.779468794631958,3.4133063022613523,258394,42854880,0.5566988542595777,0.6223245270814087,0.44330114574042234,0.37767547291859127,86.07999885711669,430.3999942855835,0.7919602394104004,1,True
12-16-12-12-16-20-20-32-28-24-56-56-40-32-56,-435.3505484188887,9.799999583435058,19.51999951171875,3.5485753128051756,3.983249935531616,270342,43647536,0.5824403107589291,0.6338352178204387,0.4175596892410709,0.3661647821795613,87.17999885406495,435.8999942703247,0.9476265907287598,1,True
16-16-12-12-12-24-24-28-28-20-48-40-40-32-48,-373.27231924790294,19.999999212646486,26.949999145507814,3.2045865489959717,2.9891905712127684,219130,41398752,0.4721062406011798,0.6011791133275959,0.5278937593988202,0.3988208866724041,76.97999922485351,384.89999612426755,0.7534186840057373,1,True
16-16-16-12-16-16-24-32-28-16-56-48-32-32-48,-435.8346268508416,9.679999494934082,18.16999937133789,3.955113119506836,3.5718958366394045,231546,44900832,0.49885598314352564,0.6520351717228419,0.5011440168564744,0.34796482827715813,87.29999894256592,436.4999947128296,0.518439531326294,1,True
16-16-12-12-12-16-16-28-32-20-56-56-40-32-48,-413.1786287979021,13.419999287414552,18.80999932861328,2.633548267745972,3.575288236236572,251002,41970144,0.5407731054779232,0.6094766807499782,0.45922689452207677,0.3905233192500218,83.55999915008545,417.79999575042723,0.5025913715362549,1,True
16-16-12-12-12-16-16-28-32-16-56-64-40-32-40,-412.91844963811496,13.459999482727051,15.629999340820312,2.6481898639678954,3.126379957199097,253354,41656720,0.5458403891811769,0.6049252401071398,0.45415961081882306,0.39507475989286023,83.51999895477294,417.59999477386475,0.5423188209533691,1,True
