epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc
1,0.0009996145181203615,1.9943124144824582,0.30597014925373134,14.857953500084042,0.11298969072164948,0.11298969072164948
2,0.000998458666866564,1.273705913059747,0.48507462686567165,8.604138736190254,0.1558762886597938,0.1558762886597938
3,0.0009965342284774632,1.0869188753526602,0.5559701492537313,10.429643400919806,0.11298969072164948,0.1558762886597938
4,0.0009938441702975688,0.9775242342877744,0.6156716417910447,19.443690911691213,0.11298969072164948,0.1558762886597938
5,0.0009903926402016151,1.012194121061866,0.5932835820895522,26.911609951683523,0.11298969072164948,0.1558762886597938
6,0.0009861849601988382,0.9212510959425969,0.6119402985074627,23.453435383253183,0.11298969072164948,0.1558762886597938
7,0.0009812276182268236,0.8671432671262257,0.6529850746268657,23.530989430292518,0.11298969072164948,0.1558762886597938
8,0.0009755282581475768,0.7911255840045303,0.664179104477612,25.316061024397765,0.11298969072164948,0.1558762886597938
9,0.0009690956679612421,0.7137258773419395,0.7164179104477612,24.953348712100425,0.11298969072164948,0.1558762886597938
10,0.0009619397662556433,0.6615831958713816,0.7686567164179104,21.37135377922009,0.11298969072164948,0.1558762886597938
11,0.0009540715869125406,0.6796608362624894,0.7313432835820896,18.317277949864103,0.11298969072164948,0.1558762886597938
12,0.0009455032620941839,0.6309233770441653,0.7873134328358209,10.391912183282301,0.13237113402061856,0.1558762886597938
13,0.0009362480035363986,0.6603332677883889,0.7649253731343284,12.572805885284966,0.14556701030927835,0.1558762886597938
14,0.0009263200821770461,0.6063694304494716,0.7910447761194029,2.4176583890225163,0.3975257731958763,0.3975257731958763
15,0.0009157348061512728,0.5495817060790845,0.8283582089552238,3.823508694618172,0.3542268041237113,0.3975257731958763
16,0.0009045084971874739,0.5412974241954177,0.7873134328358209,4.118026148294166,0.3509278350515464,0.3975257731958763
17,0.0008926584654403725,0.5706895545347414,0.7873134328358209,3.049333863798037,0.38309278350515463,0.3975257731958763
18,0.0008802029828000156,0.5712377704791168,0.7686567164179104,2.0304918538045484,0.4268041237113402,0.4268041237113402
19,0.0008671612547178428,0.5306605185145763,0.7947761194029851,1.4174008352163525,0.5282474226804124,0.5282474226804124
20,0.0008535533905932737,0.44170190860976033,0.8656716417910447,0.8195538257016349,0.6964948453608247,0.6964948453608247
21,0.0008394003727664709,0.4662057010095511,0.835820895522388,1.1939265874611962,0.565360824742268,0.6964948453608247
22,0.0008247240241650919,0.4346490969408804,0.8619402985074627,12.342663965618488,0.20783505154639176,0.6964948453608247
23,0.000809546974654917,0.4723908643224346,0.8208955223880597,2.0717044849686093,0.5030927835051546,0.6964948453608247
24,0.0007938926261462366,0.4846966533518549,0.8395522388059702,3.2318984630473495,0.44742268041237115,0.6964948453608247
25,0.0007777851165098012,0.4791496458338268,0.832089552238806,6.079858043441688,0.2878350515463918,0.6964948453608247
26,0.0007612492823579744,0.5074882734177718,0.8059701492537313,6.060010341682577,0.2927835051546392,0.6964948453608247
27,0.0007443106207484776,0.533244097410743,0.8097014925373134,5.217166905438971,0.34845360824742266,0.6964948453608247
28,0.0007269952498697734,0.4914160762260209,0.8432835820895522,4.663659530046694,0.41030927835051545,0.6964948453608247
29,0.0007093298687687142,0.5206883674237266,0.8283582089552238,6.324523811167179,0.28371134020618555,0.6964948453608247
30,0.000691341716182545,0.473429401419056,0.8507462686567164,7.6606170233754325,0.28824742268041237,0.6964948453608247
31,0.0006730585285387465,0.564859139385508,0.7985074626865671,9.767834088384056,0.2111340206185567,0.6964948453608247
32,0.0006545084971874737,0.44210012457264003,0.8582089552238806,3.4558082197592164,0.34515463917525774,0.6964948453608247
33,0.0006357202249325371,0.4475431339954262,0.8432835820895522,11.921937928740512,0.2268041237113402,0.6964948453608247
34,0.0006167226819279528,0.43260578166193037,0.8432835820895522,3.2450489940066505,0.44577319587628866,0.6964948453608247
35,0.0005975451610080642,0.48525972864521083,0.8171641791044776,3.124758310012289,0.44742268041237115,0.6964948453608247
36,0.0005782172325201155,0.3857344019768843,0.8768656716417911,4.676085587432704,0.5002061855670104,0.6964948453608247
37,0.0005587686987289189,0.41573484886938067,0.8507462686567164,1.9455218667099157,0.49443298969072164,0.6964948453608247
38,0.0005392295478639225,0.4246982220393508,0.8619402985074627,1.0840397086309403,0.6569072164948454,0.6964948453608247
