channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
12-20-40,-386.3408289913309,17.450000762939453,34.980000299072266,2.4149112701416016,2.0778035995483397,186518,31205776,0.4018450772803854,0.4531600553171162,0.5981549227196146,0.5468399446828838,79.45000076293945,397.25000381469727,6.85834527015686,3,True
12-24-48,-431.75637240831463,10.199999809265137,36.720000323486325,2.5427207946777344,2.3240620807647705,261718,38818272,0.5638602705136657,0.5637062281942568,0.4361397294863343,0.43629377180574325,86.70000171661377,433.50000858306885,4.355440616607666,3,True
12-32-64,-157.61909599070285,56.70000076293945,81.63999954833984,2.3736860752105713,0.7838699372291565,452726,58135168,0.9753788613261978,0.8442198632314044,0.024621138673802223,0.1557801367685956,40.20000076293945,201.00000381469727,4.363102674484253,3,True
12-24-40,-400.87484400228493,15.15000057220459,35.559999841308596,2.288900375366211,2.1622588603973387,202726,35058064,0.4367645221198137,0.5091017195518868,0.5632354778801862,0.49089828044811323,81.75000095367432,408.7500047683716,3.849675416946411,3,True
16-32-40,-215.39661491887426,46.650001525878906,58.579999926757814,1.8615659475326538,1.2794261373519897,254346,55480720,0.5479776108791479,0.8056728390357424,0.45202238912085213,0.19432716096425762,50.25,251.25,3.8468868732452393,3,True
16-32-64,84.9000015258789,99.9000015258789,99.98,0.00391602236777544,0.004914337707310915,464154,68862592,1.0,1.0,0.0,0.0,0.0,0.0,3.7947752475738525,3,True
12-28-56,-314.0157890193927,30.200000762939453,63.82000001220703,3.2810826301574707,1.4919712158203124,350454,47794736,0.7550381985289365,0.6940594974990195,0.2449618014710635,0.3059405025009805,66.70000076293945,333.50000381469727,4.429249048233032,3,True
16-32-48,-169.78970143139634,54.45000076293945,70.72000056152343,1.9238115549087524,0.9594982473373413,313914,59277792,0.6763143267105314,0.8608126746085887,0.3236856732894686,0.13918732539141132,42.45000076293945,212.25000381469727,4.1969780921936035,3,True
12-32-56,-351.90991993327196,24.05000114440918,59.3000003112793,3.013646125793457,1.6679752626419067,372422,53010992,0.8023673177436799,0.7698082581614122,0.19763268225632014,0.23019174183858782,72.85000038146973,364.25000190734863,4.155226230621338,3,True
12-32-48,-419.8087989479781,12.5,44.92000008544922,4.8173604011535645,2.0262530752182006,302486,48550368,0.6516931880367292,0.705032537839993,0.34830681196327085,0.294967462160007,84.4000015258789,422.00000762939453,3.85636568069458,3,True
12-32-40,-422.8157158686835,11.800000190734863,39.36000034179688,3.878706455230713,1.9570267068862914,242918,44753296,0.5233564722053456,0.6498927022671467,0.47664352779465435,0.3501072977328533,85.10000133514404,425.5000066757202,3.7889702320098877,3,True
16-32-56,-49.69080639496171,74.70000457763672,82.039999609375,1.0267524719238281,0.6163966510772705,383850,63738416,0.8269884564174821,0.9255883949300079,0.1730115435825179,0.07441160506999211,22.199996948242188,110.99998474121094,3.754300594329834,3,True
16-28-56,-217.5898007571194,46.54999923706055,63.93999958496094,2.0290865898132324,1.4769549461364746,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,50.35000228881836,251.7500114440918,4.305618524551392,3,True
12-28-40,-351.6331419168875,23.5,44.299999987792965,2.318852424621582,1.7838689441680908,221526,39573904,0.4772683204281338,0.5746792685352303,0.5227316795718662,0.4253207314647697,73.4000015258789,367.00000762939453,4.326655149459839,3,True
12-20-48,-433.11657605529604,9.850000381469727,37.84000021972656,3.4058282375335693,2.191842056274414,245222,34947552,0.5283203419554717,0.507496900494248,0.47167965804452827,0.492503099505752,87.05000114440918,435.2500057220459,3.9692366123199463,3,True
16-24-48,-351.2234716565754,23.899999618530273,45.68000040893555,5.458417892456055,2.0145788955688477,272858,49471968,0.5878609254687022,0.7184157111018998,0.41213907453129783,0.28158428889810017,73.00000190734863,365.00000953674316,4.440657138824463,3,True
16-24-64,-194.91065019749692,50.45000076293945,71.34000031738282,3.2057790756225586,1.2975690935134887,421946,58983040,0.9090646638831078,0.8565323826323586,0.0909353361168922,0.14346761736764135,46.45000076293945,232.25000381469727,4.1237664222717285,3,True
16-28-64,-78.493190894849,70.0,77.38000048828125,1.3860349655151367,0.9725918912887573,441754,63591040,0.951740155207108,0.9234482489418928,0.048259844792892026,0.07655175105810719,26.900001525878906,134.50000762939453,3.8218331336975098,3,True
12-24-56,-389.9459432979803,17.399999618530273,54.5400000793457,3.445659637451172,1.9039898607254029,331078,43242032,0.7132934327830849,0.6279466215851996,0.2867065672169151,0.37205337841480035,79.50000190734863,397.50000953674316,4.512687921524048,3,True
16-24-56,-208.01303911301358,48.0,68.17999965820313,2.8908472061157227,1.241477515220642,342218,53895728,0.7372940877381214,0.7826561044928428,0.26270591226187856,0.21734389550715716,48.900001525878906,244.50000762939453,3.9403576850891113,3,True
