iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-24-64,-194.910650,50.4500,0.909065,0.856532
2,16-28-64,-78.493191,70.0000,0.951740,0.923448
3,16-28-64,-78.493191,70.0000,0.951740,0.923448
4,16-32-64,84.900002,99.9000,1.000000,1.000000
5,16-32-64,84.900002,99.9000,1.000000,1.000000
