true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,114,0,0,0,0,46,113,0,1,0
BMP2,0,150,0,29,6,0,0,10,0,0
BRDM_2,0,0,256,0,0,0,0,0,0,18
BTR60,0,88,0,86,17,0,0,4,0,0
BTR70,0,36,0,31,129,0,0,0,0,0
D7,0,0,0,0,0,205,0,0,26,43
T62,0,0,0,0,0,2,125,0,0,146
T72,0,15,0,16,0,0,0,164,0,1
ZIL131,0,0,0,0,0,1,0,0,225,48
ZSU_23_4,0,0,0,0,0,0,0,0,0,274
