true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,260,0,0,0,0,0,14,0,0,0
BMP2,0,193,0,1,0,0,0,1,0,0
BRDM_2,0,0,274,0,0,0,0,0,0,0
BTR60,0,6,0,189,0,0,0,0,0,0
BTR70,0,9,0,3,184,0,0,0,0,0
D7,0,0,0,0,0,254,2,0,0,18
T62,0,0,0,0,0,0,258,0,0,15
T72,0,0,0,0,0,0,0,195,0,1
ZIL131,0,0,0,0,0,0,6,0,268,0
ZSU_23_4,0,0,0,0,0,0,0,0,0,274
