generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-28-48,17.145560,28.1400,0.629295,0.784796
2,16-28-48,17.145560,28.1400,0.629295,0.784796
3,16-28-48,17.145560,28.1400,0.629295,0.784796
4,16-28-48,17.145560,28.1400,0.629295,0.784796
5,16-28-48,17.145560,28.1400,0.629295,0.784796
