iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-16-12-12-12-16-16-28-28-20-56-48-40-40-48,-410.774245,13.7800,0.526157,0.592346
2,16-12-12-12-12-20-28-28-28-20-48-48-40-32-48,-381.759791,18.5800,0.496650,0.585655
3,16-16-12-12-12-24-24-28-28-20-48-40-40-32-48,-375.072317,19.7000,0.472106,0.601179
4,16-12-12-12-12-24-28-24-24-20-32-32-40-32-64,-360.942776,21.9400,0.439117,0.548719
5,16-12-12-12-12-24-28-24-24-20-32-32-40-32-64,-360.942776,21.9400,0.439117,0.548719
