true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,132,0,0,0,0,0,142,0,0,0
BMP2,0,160,1,20,12,0,0,2,0,0
BRDM_2,0,0,274,0,0,0,0,0,0,0
BTR60,0,57,2,107,24,0,0,5,0,0
BTR70,0,23,4,11,158,0,0,0,0,0
D7,0,0,0,0,0,196,66,0,1,11
T62,0,0,0,0,0,0,262,0,0,11
T72,0,23,1,16,0,0,0,156,0,0
ZIL131,0,0,0,0,0,15,23,0,213,23
ZSU_23_4,0,0,0,0,0,0,2,0,0,272
