true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,266,0,0,0,0,0,4,0,0,4
BMP2,0,192,0,0,1,0,0,2,0,0
BRDM_2,0,0,273,0,0,0,0,0,0,1
BTR60,0,5,0,189,1,0,0,0,0,0
BTR70,0,5,0,1,190,0,0,0,0,0
D7,0,0,0,0,0,253,1,0,2,18
T62,0,0,0,0,0,0,263,0,0,10
T72,0,0,0,0,0,0,0,195,0,1
ZIL131,0,0,0,0,0,0,2,0,272,0
ZSU_23_4,0,0,0,0,0,0,0,0,0,274
