epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
59,0.010000000000000002,0.220142,0.220142,0.000000,0.000000,92.3480,0.366807,88.2000,30.16
60,0.010000000000000002,0.218144,0.218144,0.000000,0.000000,92.4200,0.361191,88.2400,30.21
61,0.0010000000000000002,0.208610,0.208610,0.000000,0.000000,92.7160,0.349762,88.5200,29.17
62,0.0010000000000000002,0.206894,0.206894,0.000000,0.000000,92.7380,0.349301,88.6500,26.01
63,0.0010000000000000002,0.205878,0.205878,0.000000,0.000000,92.7460,0.347197,88.6300,26.16
64,0.0010000000000000002,0.206773,0.206773,0.000000,0.000000,92.7880,0.348547,88.7300,20.94
65,0.0010000000000000002,0.205465,0.205465,0.000000,0.000000,92.8500,0.350165,88.5300,37.11
66,0.0010000000000000002,0.206511,0.206511,0.000000,0.000000,92.7280,0.349359,88.5400,21.28
67,0.0010000000000000002,0.202379,0.202379,0.000000,0.000000,92.9600,0.350077,88.6300,19.70
68,0.0010000000000000002,0.199402,0.199402,0.000000,0.000000,93.0340,0.347743,88.8500,19.62
69,0.0010000000000000002,0.201912,0.201912,0.000000,0.000000,93.0260,0.348222,88.7200,19.59
70,0.0010000000000000002,0.205159,0.205159,0.000000,0.000000,92.8660,0.348907,88.7100,17.07
71,0.0010000000000000002,0.205006,0.205006,0.000000,0.000000,92.7740,0.349576,88.7000,15.90
72,0.0010000000000000002,0.200160,0.200160,0.000000,0.000000,93.0780,0.348667,88.7100,15.19
73,0.0010000000000000002,0.198791,0.198791,0.000000,0.000000,93.0400,0.349162,88.6600,15.18
74,0.0010000000000000002,0.200412,0.200412,0.000000,0.000000,92.9600,0.349167,88.7000,15.09
75,0.0010000000000000002,0.200847,0.200847,0.000000,0.000000,93.0200,0.350498,88.6500,14.22
76,0.0010000000000000002,0.202753,0.202753,0.000000,0.000000,93.0380,0.349556,88.5700,15.04
77,0.0010000000000000002,0.202813,0.202813,0.000000,0.000000,92.8740,0.350354,88.6900,13.83
78,0.0010000000000000002,0.201502,0.201502,0.000000,0.000000,92.9260,0.350612,88.6200,33.94
79,0.0010000000000000002,0.198800,0.198800,0.000000,0.000000,92.9760,0.348713,88.7000,15.19
80,0.0010000000000000002,0.197483,0.197483,0.000000,0.000000,93.1520,0.349624,88.6300,43.34
