epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
59,0.010000000000000002,1.470540,0.275976,1.982496,0.000000,92.8020,0.536157,89.2900,2.88
60,0.010000000000000002,1.458157,0.274104,1.965608,0.000000,92.7860,0.564168,88.6600,2.86
61,0.0010000000000000002,1.439866,0.270744,1.940919,0.000000,92.8680,0.524402,89.2800,2.86
62,0.0010000000000000002,1.441137,0.273484,1.941560,0.000000,92.9000,0.525329,89.2800,2.79
63,0.0010000000000000002,1.427330,0.267236,1.924513,0.000000,92.9520,0.526328,89.3600,2.88
64,0.0010000000000000002,1.430614,0.266780,1.929399,0.000000,93.0120,0.523598,89.3200,2.89
65,0.0010000000000000002,1.438003,0.268588,1.939181,0.000000,92.9800,0.525581,89.2500,2.90
66,0.0010000000000000002,1.433242,0.268113,1.932583,0.000000,93.0560,0.525601,89.2100,2.89
67,0.0010000000000000002,1.418893,0.263356,1.914123,0.000000,93.0900,0.525038,89.2500,2.85
68,0.0010000000000000002,1.433031,0.270322,1.931335,0.000000,92.8620,0.523964,89.3300,2.87
69,0.0010000000000000002,1.409662,0.258884,1.902852,0.000000,93.0940,0.526480,89.1700,2.90
70,0.0010000000000000002,1.404844,0.258518,1.896126,0.000000,93.1320,0.526070,89.2800,2.88
71,0.0010000000000000002,1.428529,0.265490,1.926975,0.000000,92.9660,0.522925,89.3400,2.87
72,0.0010000000000000002,1.417529,0.262847,1.912393,0.000000,92.9040,0.525332,89.3200,2.84
73,0.0010000000000000002,1.419938,0.263474,1.915565,0.000000,93.1780,0.522617,89.3800,2.90
74,0.0010000000000000002,1.413097,0.258121,1.908086,0.000000,93.0920,0.524539,89.2300,2.89
75,0.0010000000000000002,1.421038,0.262754,1.917445,0.000000,93.1880,0.525028,89.3000,2.89
76,0.0010000000000000002,1.416853,0.263421,1.911181,0.000000,93.0460,0.526515,89.3700,2.83
77,0.0010000000000000002,1.414540,0.262017,1.908478,0.000000,93.1400,0.522588,89.3500,2.93
78,0.0010000000000000002,1.424790,0.265936,1.921442,0.000000,93.0820,0.523721,89.3500,2.82
79,0.0010000000000000002,1.418082,0.258247,1.915154,0.000000,93.1300,0.524854,89.3200,2.86
80,0.0010000000000000002,1.417035,0.260917,1.912514,0.000000,93.0220,0.524863,89.2700,2.87
