iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-12-16-12-12-32-32-24-20-20-40-48-48-64-56,-410.123517,14.1600,0.656080,0.690312
2,12-16-16-8-12-28-32-28-16-20-40-56-48-56-40,-378.528529,19.2600,0.591989,0.622859
3,12-16-16-8-12-28-32-28-16-20-40-56-48-56-40,-378.528529,19.2600,0.591989,0.622859
4,12-16-16-8-12-28-32-28-16-20-40-56-48-56-40,-378.528529,19.2600,0.591989,0.622859
5,12-16-16-8-12-28-32-28-16-20-40-56-48-56-40,-378.528529,19.2600,0.591989,0.622859
