true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,193,0,0,0,1,29,51,0,0,0
BMP2,0,147,0,22,1,0,0,25,0,0
BRDM_2,0,0,274,0,0,0,0,0,0,0
BTR60,0,17,0,152,12,0,0,14,0,0
BTR70,0,20,1,30,145,0,0,0,0,0
D7,0,0,0,0,0,236,7,0,19,12
T62,0,0,0,0,0,0,271,0,0,2
T72,0,8,0,1,0,0,0,185,0,2
ZIL131,0,0,0,0,0,0,1,0,273,0
ZSU_23_4,0,0,0,0,0,1,0,0,0,273
