run,label_ratio,setting,batch_size,lr,seed,epochs,num_labeled,num_unlabeled_unused,best_test_acc,best_epoch,time_seconds
supervised_10percent_b32,0.1,10%标签监督,32,0.001,42,80,268,2478,0.770721649484536,54,176.95
supervised_full_b32,1.0,全标签监督,32,0.001,42,80,2746,0,0.9822680412371134,63,1305.0
supervised_10percent_b64,0.1,10%标签监督,64,0.001,42,80,268,2478,0.7826804123711341,29,140.13
supervised_full_b64,1.0,全标签监督,64,0.001,42,80,2746,0,0.9756701030927835,71,1256.77
supervised_10percent_b96,0.1,10%标签监督,96,0.001,42,80,268,2478,0.7154639175257732,61,475.11
supervised_full_b96,1.0,全标签监督,96,0.001,42,80,2746,0,0.965360824742268,58,1232.78
supervised_10percent_b128,0.1,10%标签监督,128,0.001,42,80,268,2478,0.596701030927835,47,438.8
supervised_full_b128,1.0,全标签监督,128,0.001,42,80,2746,0,0.9665979381443299,71,1200.95
