true/pred,2S1,BMP2,BRDM_2,BTR60,BTR70,D7,T62,T72,ZIL131,ZSU_23_4
2S1,158,0,0,0,0,9,107,0,0,0
BMP2,0,132,24,18,2,0,0,19,0,0
BRDM_2,0,0,274,0,0,0,0,0,0,0
BTR60,0,19,14,143,11,0,0,8,0,0
BTR70,0,31,16,30,119,0,0,0,0,0
D7,0,0,0,0,0,257,0,0,11,6
T62,0,0,0,0,0,5,207,0,0,61
T72,0,4,5,8,0,0,0,177,0,2
ZIL131,0,0,0,0,0,1,0,0,272,1
ZSU_23_4,0,0,0,0,0,1,0,0,0,273
