generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,12-8-12-8-8-24-16-28-20-32-32-56-64-40-40,-418.342019,12.3800,0.552967,0.495719
2,12-8-12-8-8-24-16-28-20-32-32-56-64-40-40,-418.342019,12.3800,0.552967,0.495719
3,16-12-8-8-16-32-28-28-16-20-32-64-64-40-40,-414.751231,13.2200,0.608337,0.612955
4,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-390.573931,17.5200,0.736949,0.710919
5,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-390.573931,17.5200,0.736949,0.710919
