generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.882322,12.3000,0.704650,0.725908
2,16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.882322,12.3000,0.704650,0.725908
3,8-8-12-12-8-24-28-16-20-24-64-64-64-32-32,-413.081588,13.3600,0.640481,0.513919
4,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-389.973928,17.6200,0.736949,0.710919
5,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-389.973928,17.6200,0.736949,0.710919
