iteration,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,12-8-16-12-12-16-32-24-16-24-40-32-40-40-64,-411.130547,13.5400,0.470546,0.511782
2,12-12-12-12-12-16-28-28-16-24-48-40-40-40-56,-405.668195,14.4800,0.492160,0.518740
3,12-12-16-8-12-16-32-28-16-24-40-32-40-40-64,-405.543329,14.5000,0.478337,0.525165
4,12-12-16-8-12-16-32-28-16-24-40-32-40-40-64,-405.543329,14.5000,0.478337,0.525165
5,12-12-12-8-12-16-32-28-16-24-40-32-40-40-64,-403.947587,14.7200,0.474580,0.499469
