generation,best_channels,best_fitness,best_val_acc,best_params_ratio,best_flops_ratio
1,16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-420.442325,12.5400,0.704650,0.725908
2,8-8-8-8-8-20-16-32-24-16-48-40-32-56-48,-418.561849,12.1200,0.472296,0.402037
3,8-8-8-8-8-20-16-32-24-16-48-40-32-56-48,-418.561849,12.1200,0.472296,0.402037
4,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-389.613928,17.6800,0.736949,0.710919
5,16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-389.613928,17.6800,0.736949,0.710919
