epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
59,0.010000000000000002,1.451180,0.254149,1.964193,0.000000,93.0660,0.489847,89.3800,43.70
60,0.010000000000000002,1.435397,0.249235,1.943752,0.000000,93.0220,0.487003,89.5100,41.18
61,0.0010000000000000002,1.393975,0.236306,1.890119,0.000000,93.2540,0.472520,89.6100,39.92
62,0.0010000000000000002,1.372357,0.237378,1.858777,0.000000,93.3880,0.471723,89.6400,40.56
63,0.0010000000000000002,1.374651,0.232644,1.864083,0.000000,93.4720,0.470437,89.6700,41.03
64,0.0010000000000000002,1.383838,0.234741,1.876308,0.000000,93.4040,0.471634,89.6300,41.04
65,0.0010000000000000002,1.373379,0.234309,1.861551,0.000000,93.3900,0.468370,89.6000,39.64
66,0.0010000000000000002,1.363139,0.231643,1.848066,0.000000,93.5180,0.471359,89.6600,39.75
67,0.0010000000000000002,1.372276,0.231293,1.861269,0.000000,93.4540,0.469227,89.6900,39.90
68,0.0010000000000000002,1.363168,0.229796,1.848899,0.000000,93.5740,0.470039,89.7300,39.90
69,0.0010000000000000002,1.354053,0.226997,1.837077,0.000000,93.5520,0.469405,89.7200,39.96
70,0.0010000000000000002,1.364412,0.229624,1.850750,0.000000,93.4780,0.473973,89.7900,37.91
71,0.0010000000000000002,1.365538,0.231608,1.851508,0.000000,93.4080,0.468892,89.6400,36.88
72,0.0010000000000000002,1.363943,0.226808,1.851287,0.000000,93.5380,0.470471,89.7400,37.71
73,0.0010000000000000002,1.364420,0.230297,1.850473,0.000000,93.4700,0.472526,89.7900,36.35
74,0.0010000000000000002,1.365332,0.230840,1.851543,0.000000,93.6060,0.470495,89.6900,44.30
75,0.0010000000000000002,1.347413,0.224846,1.828514,0.000000,93.6700,0.467696,89.7400,43.32
76,0.0010000000000000002,1.346940,0.224560,1.827961,0.000000,93.6320,0.470830,89.7700,49.39
77,0.0010000000000000002,1.357158,0.226435,1.841754,0.000000,93.5700,0.467287,89.7500,31.09
78,0.0010000000000000002,1.347908,0.226689,1.828430,0.000000,93.6220,0.466999,89.7300,55.21
79,0.0010000000000000002,1.346994,0.225288,1.827726,0.000000,93.5820,0.465849,89.5900,29.18
80,0.0010000000000000002,1.351446,0.226527,1.833554,0.000000,93.6580,0.467799,89.8000,29.31
